,thetao_W10p0,thetao_W20p0,thetao_W30p0,thetao_W40p0,thetao_W60p0,so_W10p0,so_W20p0,so_W30p0,so_W40p0,so_W60p0
27,1.506204326179701,1.2816164910094556,1.3584840276079775,1.4540682518002677,1.0901637724013613,1.2055050079945984,1.2595848448377005,0.9077740315179053,1.0100606256053624,1.396126115135175
28,1.4632270947566206,1.290799813486072,1.3393677742751273,1.4217864225281067,1.136684980525967,1.1359406609198945,1.2953245931445094,0.8964935985418256,0.9623035101699535,1.4544883701236415
29,1.4032897785560778,1.2244911025424354,1.2588006665922915,1.3775587546738424,1.1445192283635832,1.132098358651409,1.2356846637689054,0.9094741334581877,0.9524312207021421,1.479567397799872
30,1.3531551605376568,1.1671157130149845,1.2446966649970979,1.3496459346133411,1.117877011277236,1.0234367495377155,1.179277933181905,0.8939599307740175,1.0045995634387743,1.3671839738375744
31,1.317937001566606,1.0758283641744948,1.2057231120561216,1.2617250738189525,1.0752407202260343,0.9875785936966668,1.168085865970167,0.8781075500063295,0.9406084013737562,1.3612564954412814
32,1.279181171995686,0.9816643384227804,1.147303343201189,1.190897508926466,1.0248401839704089,0.9385301170915632,1.1238564544430762,0.903635161767855,0.8998960516514452,1.3011236160253787
33,1.2726398655531317,0.8835716757667671,1.0969041748625006,1.142968769891112,1.0291169395365962,0.9486785096691076,1.0849419599208037,0.8244865788622551,0.904784355103083,1.1121861847895476
34,1.334393192151122,0.8714559321070434,1.048063945228606,1.0941495544860005,0.9877319123100985,0.9475064076267412,1.0654604802176357,0.7882214537720051,0.8307524783576354,1.053498359332771
35,1.3230481869247512,0.9012873437920879,1.0150991130461438,1.0871581723490054,1.019417388150483,0.946959279716134,1.0510576860637624,0.7963851976471268,0.8214717272318701,1.0114278514751878
36,1.279034909176452,0.8974230289443186,0.990335592843671,1.0770818468623664,1.0817745361211712,0.8922048817477315,1.0031290652977853,0.8767113693667832,0.7861940009968008,1.016262904830639
37,1.3345621893052386,0.7907853506176761,0.934777495620023,1.0714032435187493,1.1290912526326276,0.8900405682690411,0.9743567080590295,0.8452566248665627,0.813860832939663,1.045975453613963
38,1.4640371100362106,0.8295070642297053,0.9204934859286091,1.0692148377364215,1.1540004188306618,0.9193450056532102,0.9124382168422362,0.779765135842702,0.824103072125597,1.121866169508537
39,1.4946001366528816,0.8429730755486713,0.8990429414078113,1.0925519477284888,1.1669868527231406,0.910152246184061,0.8829502575058441,0.767798698044577,0.8522622465202756,1.1198703341763503
40,1.5105281803877295,0.81115061044096,0.8797041024169552,1.0595090878854325,1.129188458416443,0.9614900326408038,0.8925090972378471,0.8304769517581005,0.8708594030459591,1.0584203337157998
41,1.5561300529793471,0.8536768674829187,0.8658394263676383,0.9698430075444437,1.059075979803175,0.9865404750792464,0.8255259736252277,0.8974781706138748,0.875223079640021,1.0046726292724597
42,1.6128084676289647,0.8680234380609905,0.8450999265011541,0.8655432265218623,1.0372452520181878,0.9063021699947191,0.7289110492276243,0.8428095603656102,0.8041304728599095,0.9685822782610494
43,1.5941831446948205,0.8060398027294415,0.8163723962097077,0.8204240778423126,0.9453554439397067,0.8924883675923314,0.6857695900946306,0.9276235627179801,0.7497391413876885,0.8964671364811019
44,1.5393440536222724,0.8569697056387227,0.806338675795315,0.8252840217149459,0.969495204589482,0.8544667383157134,0.6985008884511044,0.9851949715858821,0.8180472898564367,0.8335365666294308
45,1.569264937385373,0.9039152175055942,0.837214149818003,0.7912818860914874,1.0090985556498109,0.915360457707176,0.7614432256313002,0.853367770940616,0.8090626041856963,0.9055901648549138
46,1.504485351188841,0.9666875289119735,0.8482059417972637,0.7832573805449148,1.0477475229405198,0.8616063616439069,0.7064162339840919,0.7269661893518105,0.8151685510795873,0.9328800511263613
47,1.467329770325837,0.9570663842580387,0.8060942600546335,0.7725554650106389,0.9982111939981806,0.8018940279661293,0.699449994751936,0.7124093002111216,0.9291035465359394,0.9982217185130072
48,1.4897473643117256,0.9850058572261224,0.8199296128193274,0.7300507068698425,1.0057570296467513,0.7563122530646786,0.6340442061969227,0.72511274423171,0.8646759356739642,1.1534197395451118
49,1.4116501988979295,1.0361606020522773,0.8563017362879651,0.7105355851387465,1.0127948129372837,0.7744814300241933,0.520501329131792,0.6792096256825875,0.975890150829561,1.155958023087302
