model,target,var,lon,varlon,rank,lag,score,best_mode,best_mode_abs_corr
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,6,22,1.6124683988958444,7,0.5922361746730849
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,7,15,1.5931782827860754,9,0.6779366068437775
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,8,23,1.5804529368673732,7,0.5659547001477305
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,9,19,1.567886569736479,9,0.5834240215172464
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,10,24,1.5670572180609366,8,0.571669023514707
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,11,12,1.5374717307754477,9,0.6663948487223953
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,12,14,1.5333677110494666,9,0.651801816859811
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,13,13,1.5286649115609956,9,0.6615513296695559
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,14,11,1.5207754160484337,9,0.6642544840078612
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,thetao_W30p0,15,10,1.5191225498813257,9,0.6388470545196272
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,1,16,1.6797833892227636,8,0.6388447090792655
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,2,18,1.6739194703937155,8,0.6657003947379847
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,3,15,1.6675168008503352,8,0.6383999372467595
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,4,17,1.6632945973666031,8,0.6477386814908308
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,5,19,1.65680796293646,8,0.6352999377374596
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,6,20,1.630324597198631,8,0.6160690840839405
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,7,14,1.594227614704566,8,0.6048702952756735
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,8,21,1.5714003310127336,8,0.6330770469857607
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,9,13,1.5702845769696994,8,0.5726581818758534
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,10,23,1.5406171996042013,8,0.6118809111595538
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,11,22,1.534498568528588,8,0.6256989365534655
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,12,12,1.5267322888457204,8,0.5344729224249369
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,13,24,1.526547862468787,8,0.5919925941399212
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,14,25,1.522607647073116,7,0.5727623118692415
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,thetao_W40p0,15,26,1.5142239011030718,7,0.5907337130373621
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,1,1,1.512459270707764,2,0.5953134987814023
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,2,0,1.4438789145878819,2,0.6544448523776394
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,3,5,1.4249109634813777,10,0.6195999249476929
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,4,2,1.4230294969046597,10,0.5410869308282372
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,5,4,1.4170963007275847,10,0.5707310377763634
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,6,6,1.4019612441888203,10,0.66238490430279
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,7,3,1.3977552797497688,10,0.5489120990650206
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,8,7,1.376439445320755,10,0.6590477030311249
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,9,15,1.357851093730809,10,0.6535533998120798
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,10,14,1.332005833982518,10,0.628566630648107
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,11,8,1.331901613813409,10,0.6522801330976147
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,12,18,1.329297761729694,10,0.5874147261511793
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,13,17,1.3265831117705782,10,0.6217078026791625
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,14,21,1.3163397500512555,4,0.5153876705594985
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,thetao_W60p0,15,22,1.3155620858320871,4,0.5263922525724397
