year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1919,18.96562957763672,0.17561757727654115,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1920,18.908382415771484,0.12636616878155904,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1921,19.131940841674805,0.07823518665033019,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1922,19.273799896240234,0.07327494481398256,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1923,19.256481170654297,0.10268950820407684,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1924,19.07489013671875,0.13054300219678242,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1925,18.849092483520508,0.23783842748502124,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1926,19.240734100341797,0.20351319628673983,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1927,19.161865234375,0.28832667323710726,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1928,19.105113983154297,0.14366142986782537,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1929,19.018022537231445,0.010017017762064102,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1930,19.39157485961914,0.03393611687423529,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1931,18.78337287902832,-0.08477309557941755,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1932,18.489933013916016,-0.08678383637739295,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1933,18.544523239135742,-0.03866295185891549,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1934,18.50813865661621,-0.027393245308844252,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1935,18.363109588623047,-0.21801368592446782,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1936,18.595903396606445,-0.17976000766581818,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1937,18.688396453857422,-0.13142315551473147,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1938,18.800695419311523,-0.14224807031083106,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1939,18.47245979309082,-0.188706901026246,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1940,18.452350616455078,-0.22441116242031642,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1941,18.25520896911621,-0.2590454583743486,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1942,18.291675567626953,-0.23741946162763042,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1943,18.39457130432129,-0.29728475813137545,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1944,18.501386642456055,-0.1868050060498233,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1945,18.49646759033203,-0.19433263414395055,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1946,18.29960823059082,-0.1432159642335614,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1947,18.61974334716797,-0.17851743606822507,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1948,18.47041893005371,-0.2246042559283064,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1949,18.49431610107422,-0.052614777739097555,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1950,18.552471160888672,-0.11140438606037856,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1951,18.261754989624023,-0.006496011109578224,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1952,18.350309371948242,0.04714277291729329,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1953,18.480127334594727,0.14957435343529485,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1954,18.700979232788086,0.2030420800098728,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1955,18.67379379272461,0.1102262126376355,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1956,18.598949432373047,0.1433273230522695,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1957,18.553247451782227,0.12933080462543042,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1958,18.341060638427734,0.1645113501325753,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1959,18.397335052490234,0.12444688111571456,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1960,18.50682258605957,0.08850069762434302,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
