var,mode,lag,corr,abs_corr
so,6,16,0.16260361168454618,0.16260361168454618
so,2,0,-0.1625173783770372,0.1625173783770372
thetao,4,15,0.1584675946512865,0.1584675946512865
so,7,4,-0.15728371057502427,0.15728371057502427
so,2,14,0.15597153465609187,0.15597153465609187
so,8,2,-0.15430907284328707,0.15430907284328707
thetao,7,4,-0.1537042613716108,0.1537042613716108
so,2,15,0.15127059101968252,0.15127059101968252
thetao,4,11,0.15005795417861742,0.15005795417861742
so,2,12,0.14983196667123472,0.14983196667123472
so,2,19,0.14939964608681644,0.14939964608681644
thetao,4,10,0.14686038174054736,0.14686038174054736
so,7,3,-0.14404854967343644,0.14404854967343644
thetao,4,9,0.1440292221054165,0.1440292221054165
thetao,4,16,0.13754813054972614,0.13754813054972614
thetao,4,17,0.134827845708324,0.134827845708324
thetao,7,11,0.13052847593075037,0.13052847593075037
so,6,17,0.1293355825642268,0.1293355825642268
so,2,5,-0.12753817626630176,0.12753817626630176
so,4,1,-0.12726891224291675,0.12726891224291675
so,2,16,0.12169454501793917,0.12169454501793917
thetao,4,3,-0.12030821827405046,0.12030821827405046
so,5,11,0.11632438150422733,0.11632438150422733
so,6,18,0.11362739245664233,0.11362739245664233
so,5,12,0.11161170653069262,0.11161170653069262
so,5,10,0.11030588345411446,0.11030588345411446
so,5,13,0.10768099124704364,0.10768099124704364
thetao,7,5,-0.1065798890873658,0.1065798890873658
thetao,4,8,0.10639353818844703,0.10639353818844703
so,7,0,-0.10594482136222129,0.10594482136222129
so,7,2,-0.10570037369319474,0.10570037369319474
so,5,2,-0.10551368737450292,0.10551368737450292
so,5,20,-0.10457700229908531,0.10457700229908531
thetao,4,18,0.1031784332594052,0.1031784332594052
so,5,9,0.10136767435600394,0.10136767435600394
thetao,8,12,-0.10029975070941793,0.10029975070941793
so,7,1,-0.09823732646973388,0.09823732646973388
so,2,11,0.0949310701813229,0.0949310701813229
so,5,8,0.09486650420510596,0.09486650420510596
thetao,8,13,-0.08994989651474673,0.08994989651474673
thetao,7,6,-0.08697618966733213,0.08697618966733213
so,5,7,0.08477420080650375,0.08477420080650375
so,6,19,0.08188550974376903,0.08188550974376903
thetao,7,10,0.0772952314655867,0.0772952314655867
so,2,9,0.0769353059553505,0.0769353059553505
thetao,4,4,-0.07564580116158717,0.07564580116158717
so,2,10,0.07194856726051344,0.07194856726051344
so,5,14,0.06952701539942945,0.06952701539942945
thetao,7,7,-0.06465036157040807,0.06465036157040807
so,5,19,-0.06253825979876663,0.06253825979876663
so,5,3,-0.057037979070853305,0.057037979070853305
so,5,6,0.05248513004537604,0.05248513004537604
thetao,8,11,-0.0505876316950162,0.0505876316950162
thetao,4,7,0.0492285737628445,0.0492285737628445
thetao,8,1,-0.04809382042050117,0.04809382042050117
thetao,8,20,-0.047862969767292374,0.047862969767292374
thetao,4,19,0.04576649124325402,0.04576649124325402
thetao,8,10,-0.04462676063449718,0.04462676063449718
so,5,15,0.04412081262707053,0.04412081262707053
so,6,20,0.041899986909981674,0.041899986909981674
so,2,6,-0.04006589808232094,0.04006589808232094
thetao,8,19,-0.03853155626191648,0.03853155626191648
thetao,8,14,-0.03796065654886921,0.03796065654886921
thetao,7,8,-0.03642982848795516,0.03642982848795516
thetao,8,18,-0.03471900671753216,0.03471900671753216
thetao,4,5,-0.033578830595928366,0.033578830595928366
so,5,18,-0.03306666628558901,0.03306666628558901
thetao,8,5,0.03214313365529698,0.03214313365529698
thetao,8,0,-0.030878725237262348,0.030878725237262348
thetao,8,3,0.028483669083329628,0.028483669083329628
thetao,8,15,-0.028229105005014115,0.028229105005014115
so,2,8,0.027516897776085045,0.027516897776085045
thetao,8,7,-0.027500461900790005,0.027500461900790005
so,5,17,-0.025933162562447504,0.025933162562447504
thetao,8,16,-0.025814353996754854,0.025814353996754854
so,2,7,-0.023737184206766647,0.023737184206766647
so,5,5,0.01764783871983174,0.01764783871983174
thetao,8,4,0.016828989278638525,0.016828989278638525
so,5,4,-0.012949052535135458,0.012949052535135458
so,5,16,0.011267030093583423,0.011267030093583423
thetao,8,2,0.0066961414164625945,0.0066961414164625945
thetao,7,9,0.005757566489914045,0.005757566489914045
thetao,8,8,0.004900369670966598,0.004900369670966598
thetao,4,6,0.004709061812087094,0.004709061812087094
thetao,8,6,-0.003098901019695883,0.003098901019695883
thetao,4,20,0.002852986278493795,0.002852986278493795
thetao,8,17,0.0028049264284082374,0.0028049264284082374
thetao,8,9,5.309721516423085e-05,5.309721516423085e-05
