member,bucket,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2_anom,late_corr_anom,late_var_ratio_anom,corr_drop_anom,varratio_change_anom,best_N,best_W,best_alpha,max_lag_used,n_features_used
15,other,0.0784137758888391,0.2810080857561584,0.3044978361060738,0.2193841381886353,0.4689488978785426,0.4459504059091871,-0.18794081212238423,0.14145256980311333,5,0,1000.0,4,5
23,other,0.071321576815544,0.4474078922540688,0.8063678416017426,-0.09931441903064,0.2131519253921791,0.5936097579164067,0.2342559668618897,-0.21275808368533589,15,0,100.0,22,15
27,other,0.0624203010634517,0.2505983156558792,0.2311248787195813,0.3171426280679947,0.584313138382962,0.7401310308695168,-0.33371482272708275,0.5090061521499355,10,0,100.0,21,10
6,other,0.0565949185662822,0.2418953230933769,0.285695194875916,0.3971317572633868,0.6309706278177387,0.6624694516898293,-0.3890753047243618,0.3767742568139133,5,0,300.0,23,5
18,other,0.0374104226686159,0.4504974912177609,0.8573605725177001,-0.789479062051504,0.2385905587568117,1.1585930135249454,0.2119069324609492,0.3012324410072452,15,0,1.0,18,15
19,stable_good,0.6051294392442577,0.8298496104902306,0.5408497198561169,0.4354924379122838,0.6602569995891375,0.6813962425785755,0.16959261090109312,0.1405465227224586,5,0,0.01,1,5
3,stable_good,0.4720423058714289,0.7507689952734102,0.448094618438474,0.5128028057697858,0.7527600780722541,0.5207149760563737,-0.0019910827988438573,0.07262035761789976,5,0,30.0,0,5
5,stable_good,0.4701990772955461,0.8000714739641378,0.3878636548296606,0.5756902241977582,0.8335184935474098,0.488463635752616,-0.03344701958327201,0.10059998092295536,10,0,300.0,10,10
7,stable_good,0.4698777443040119,0.7099738176693484,0.5250817478773273,0.2133523037347984,0.4883171512520756,0.6467511642421657,0.22165666641727283,0.12166941636483841,10,0,1000.0,18,10
25,stable_good,0.4213227195823027,0.6610902580224859,0.5357203666213416,0.4501207892502396,0.6862048618843621,0.5421343124181467,-0.02511460386187625,0.006413945796805098,5,0,30.0,3,5
21,stable_good,0.3710008106225841,0.6552588741535288,0.4136737307064076,0.3730291161051808,0.7055006859718401,0.3523688383546134,-0.05024181181831133,-0.061304892351794205,5,0,100.0,25,5
29,stable_good,0.3481363472179729,0.5983625501403731,0.498856800595347,0.2260841715590139,0.4915486072215232,0.616191544054726,0.10681394291884988,0.117334743459379,10,0,10.0,25,10
13,stable_good,0.3467787505108887,0.6020331945278581,0.4768724306977772,0.4452648187250213,0.6849002817981859,0.5305514000976274,-0.08286708727032777,0.053678969399850174,5,0,30.0,9,5
20,stable_good,0.3337709509120821,0.6842891995829452,1.0510053810554651,0.4333256046283986,0.6905529969581075,0.8992102206035529,-0.00626379737516225,-0.15179516045191221,5,0,1000.0,1,5
9,stable_good,0.2381026209260522,0.5100575875511598,0.361544552121753,0.5892886877740025,0.8180251214105299,0.5354009690726416,-0.30796753385937004,0.17385641695088855,15,0,1000.0,18,15
8,stable_good,0.2278956345056092,0.5184871233044196,0.3161674195509718,0.3762523787283534,0.6241031930606167,0.5089840510376498,-0.10561606975619708,0.192816631486678,5,0,300.0,25,5
1,stable_good,0.1650807223830983,0.4081422521160386,0.4468640235018347,0.4153542643910617,0.6643361524524166,0.5031274086938389,-0.256193900336378,0.05626338519200419,10,0,10.0,13,10
26,stable_good,0.1631128451691945,0.5029165212281028,0.8026033280030801,0.2238244040711782,0.5294594254776268,0.7671627682305631,-0.02654290424952399,-0.03544055977251703,5,0,1000.0,2,5
0,stable_good,0.1574154460697167,0.4018218810588006,0.4654251673568874,0.2134993299376495,0.5170536943424557,0.7490993641911559,-0.11523181328365512,0.2836741968342685,5,0,1000.0,13,5
