member,best_N,best_W,best_alpha,max_lag_used,n_features_used,train_r2,train_corr,train_var_ratio,test_r2,test_corr,test_var_ratio,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2,late_corr,late_var_ratio,late_r2_anom,late_corr_anom,late_var_ratio_anom
10,5,0,1000.0,1,5,0.3673667791057092,0.6061078939476946,0.6061078939476945,0.2442663452094308,0.5416411340108739,0.5133702364535937,0.2925758744038911,0.5416411340108738,0.5133702364535937,0.0256701126575853,0.3279738490026336,0.6116285713536805,0.0271068441175528,0.3279738490026336,0.6116285713536805
11,10,0,300.0,8,10,0.5798647579081904,0.7614885146265769,0.7614885146265773,-4.075582053303545,-0.3216355810962069,0.3741917114722271,-0.3807261740560221,-0.321635581096207,0.3741917114722271,-0.8788344782545248,-0.2988845643845941,0.6382958331061489,-0.7889751146135384,-0.2988845643845939,0.6382958331061489
12,5,0,1000.0,7,5,0.5135337417227018,0.7166126859906272,0.7166126859906284,-0.2317926695742578,0.1975492253316926,0.37317934431595,0.0081797577347273,0.1975492253316927,0.3731793443159501,-2.0723842343687178,0.7014113247930224,0.553020781128697,0.4699580930989084,0.7014113247930222,0.553020781128697
13,5,0,100.0,9,5,0.6462598444348553,0.8039028824645774,0.8039028824645765,0.1917596829809512,0.8931675569695461,0.5646312743302687,0.6898121958125126,0.8931675569695464,0.5646312743302686,0.3183082557919453,0.5964526642028034,0.6925847610117134,0.3465144005977447,0.5964526642028037,0.6925847610117134
14,5,1,100.0,5,8,0.597091841885244,0.7727171810470137,0.7727171810470129,0.1456361856005076,0.4503331816356167,0.3013597835408158,0.1806069011421454,0.4503331816356165,0.3013597835408158,-2.413930445611689,-0.6723840169500273,0.8458825409557295,-1.85303307460514,-0.6723840169500271,0.8458825409557295
15,5,0,300.0,4,5,0.5279267373653466,0.7265856710432338,0.7265856710432343,0.0050320958694427,0.2827458754694328,0.2933083756103786,0.0798336636857485,0.2827458754694328,0.2933083756103786,-0.2874256306789331,0.5836644867310256,0.4160362836058907,0.3125650185880301,0.5836644867310258,0.4160362836058907
16,5,0,100.0,3,5,0.6962451608991788,0.8344130637155553,0.8344130637155557,-0.1012709920129673,0.6777326065187591,0.8145645262133736,0.4405985116913978,0.677732606518759,0.8145645262133736,-0.0116997086563432,0.7375377934749283,0.4346926174456702,0.4522467961596736,0.7375377934749284,0.4346926174456702
17,5,0,300.0,2,5,0.5578851624905885,0.746917105501399,0.7469171055013993,-1.4211503727420736,0.5028673374721708,0.4250561529901739,0.2468209786658589,0.5028673374721709,0.4250561529901739,-4.337679687149461,0.5891595846466823,0.8914475982685907,0.255730973001572,0.5891595846466822,0.8914475982685909
18,5,0,1000.0,4,5,0.5251621358551612,0.7246807130420688,0.7246807130420684,0.0391911214021571,0.2671660956574648,0.3291513285076818,0.0675355535773577,0.2671660956574649,0.3291513285076818,-1.4095060479504542,0.0789475808432335,0.6414722009780937,-0.3102012277368695,0.0789475808432335,0.6414722009780937
19,5,0,10.0,1,5,0.5721609066982146,0.7564131851694648,0.756413185169465,0.5621386949855153,0.8345479851226949,0.5284691470619173,0.6027860843637138,0.834547985122695,0.5284691470619173,-0.4321059342295221,0.6954685267920027,0.7023683967804936,0.4836288635523802,0.6954685267920029,0.7023683967804936
