rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
89,2298,so W20p0 EOF9 lag21,0.023110729554695123,0.023110729554695123,1,2298
90,748,thetao W30p0 EOF9 lag22,0.0230275828842083,0.0230275828842083,1,748
91,1787,so W40p0 EOF8 lag22,0.022849842028917353,0.022849842028917353,1,1787
92,1612,so W40p0 EOF3 lag5,-0.022785159293936114,0.022785159293936114,1,1612
93,1316,so W60p0 EOF7 lag1,0.0227204227051581,0.0227204227051581,1,1316
94,1347,so W60p0 EOF8 lag4,0.022664887019910665,0.022664887019910665,1,1347
95,2442,so W10p0 EOF3 lag10,0.02261875029794398,0.02261875029794398,1,2442
96,1325,so W60p0 EOF6 lag2,0.02257025403490408,0.02257025403490408,1,1325
97,1795,so W40p0 EOF6 lag23,0.022536061688724268,0.022536061688724268,1,1795
98,1582,so W40p0 EOF3 lag2,-0.02249231817050388,0.02249231817050388,1,1582
99,1472,so W60p0 EOF3 lag17,0.022413743669892783,0.022413743669892783,1,1472
100,1533,so W60p0 EOF4 lag23,-0.022335761112859714,0.022335761112859714,1,1533
101,1208,thetao W10p0 EOF9 lag16,-0.022242327550332442,0.022242327550332442,1,1208
102,1272,thetao W10p0 EOF3 lag23,0.022142165499375137,0.022142165499375137,1,1272
103,795,thetao W20p0 EOF6 lag1,-0.022102906729862502,0.022102906729862502,1,795
104,2348,so W10p0 EOF9 lag0,-0.021958473883540365,0.021958473883540365,1,2348
105,22,thetao W60p0 EOF3 lag2,-0.021823771607219482,0.021823771607219482,1,22
106,1055,thetao W10p0 EOF6 lag1,-0.021733906471529233,0.021733906471529233,1,1055
107,1398,so W60p0 EOF9 lag9,0.021728189322149184,0.021728189322149184,1,1398
108,2096,so W20p0 EOF7 lag1,0.02170279970433082,0.02170279970433082,1,2096
109,2598,so W10p0 EOF9 lag25,0.0216060570524909,0.0216060570524909,1,2598
110,540,thetao W30p0 EOF1 lag2,0.02160387839393492,0.02160387839393492,1,540
111,1537,so W60p0 EOF8 lag23,0.02156539639915541,0.02156539639915541,1,1537
112,1054,thetao W10p0 EOF5 lag1,0.021544942556181824,0.021544942556181824,1,1054
113,107,thetao W60p0 EOF8 lag10,0.02154148310237185,0.02154148310237185,1,107
114,1864,so W30p0 EOF5 lag4,-0.02151892366428917,0.02151892366428917,1,1864
115,1335,so W60p0 EOF6 lag3,0.021434226031283976,0.021434226031283976,1,1335
116,1834,so W30p0 EOF5 lag1,-0.021194807838397958,0.021194807838397958,1,1834
117,1153,thetao W10p0 EOF4 lag11,-0.021139001225518525,0.021139001225518525,1,1153
118,8,thetao W60p0 EOF9 lag0,-0.021122485670706327,0.021122485670706327,1,8
119,285,thetao W40p0 EOF6 lag2,0.021025521651864144,0.021025521651864144,1,285
120,24,thetao W60p0 EOF5 lag2,0.021016201480393733,0.021016201480393733,1,24
121,1117,thetao W10p0 EOF8 lag7,-0.021012749839285964,0.021012749839285964,1,1117
122,517,thetao W40p0 EOF8 lag25,-0.020815042155283257,0.020815042155283257,1,517
123,1303,so W60p0 EOF4 lag0,-0.0206921265361692,0.0206921265361692,1,1303
124,1013,thetao W20p0 EOF4 lag23,-0.02066012351852076,0.02066012351852076,26,783
125,1285,thetao W10p0 EOF6 lag24,-0.020653747736223083,0.020653747736223083,1,1285
126,1328,so W60p0 EOF9 lag2,0.02059884821581389,0.02059884821581389,1,1328
127,29,thetao W60p0 EOF10 lag2,0.020533218199111282,0.020533218199111282,1,29
128,2123,so W20p0 EOF4 lag4,0.02051654959258706,0.02051654959258706,1,2123
129,1895,so W30p0 EOF6 lag7,-0.020466107907596762,0.020466107907596762,1,1895
130,790,thetao W20p0 EOF1 lag1,0.020446212417758472,0.020446212417758472,1,790
131,30,thetao W60p0 EOF1 lag3,0.020400835087655438,0.020400835087655438,1,30
