var,lon,mode,lag,corr,abs_corr
so,W20p0,1,16,0.5532754590170872,0.5532754590170872
so,W30p0,1,15,0.5531681210813472,0.5531681210813472
thetao,W40p0,1,10,-0.5523330789335293,0.5523330789335293
thetao,W30p0,10,20,-0.5522740998422472,0.5522740998422472
thetao,W30p0,1,8,-0.5520660671238637,0.5520660671238637
so,W30p0,9,0,0.5507834028861556,0.5507834028861556
thetao,W20p0,5,19,0.5507670982384719,0.5507670982384719
thetao,W10p0,4,2,-0.5501107192158463,0.5501107192158463
thetao,W10p0,3,21,0.549539133347672,0.549539133347672
so,W40p0,1,11,-0.5493424730044119,0.5493424730044119
thetao,W30p0,1,9,-0.549167445327624,0.549167445327624
so,W10p0,7,10,-0.5479003926830036,0.5479003926830036
thetao,W20p0,4,15,0.5475478346042287,0.5475478346042287
thetao,W40p0,3,20,-0.5473724647999337,0.5473724647999337
so,W10p0,1,0,-0.5473411311628528,0.5473411311628528
so,W30p0,2,1,-0.5471128206996172,0.5471128206996172
thetao,W30p0,1,5,-0.547055137183015,0.547055137183015
thetao,W40p0,4,2,-0.5467427055759351,0.5467427055759351
thetao,W30p0,1,10,-0.5463149194576599,0.5463149194576599
so,W10p0,7,14,-0.5458558558530282,0.5458558558530282
thetao,W30p0,1,4,-0.545327711931728,0.545327711931728
thetao,W40p0,1,9,-0.5451507425404786,0.5451507425404786
thetao,W40p0,3,17,-0.5450908428392137,0.5450908428392137
thetao,W20p0,4,11,0.5449460877424201,0.5449460877424201
thetao,W40p0,1,15,-0.5445263552362715,0.5445263552362715
so,W10p0,7,24,-0.5444982180499993,0.5444982180499993
thetao,W20p0,4,8,0.5434545919369529,0.5434545919369529
so,W30p0,2,10,-0.542964476701374,0.542964476701374
so,W40p0,3,5,-0.5428343001415036,0.5428343001415036
so,W30p0,2,5,-0.5423336799930176,0.5423336799930176
thetao,W10p0,4,3,-0.5423176316347911,0.5423176316347911
so,W10p0,7,23,-0.5415763828108046,0.5415763828108046
thetao,W30p0,1,14,-0.541422877009671,0.541422877009671
so,W30p0,2,11,-0.5412660861719361,0.5412660861719361
thetao,W20p0,5,24,0.5411860947882154,0.5411860947882154
so,W40p0,1,16,-0.5410965970515048,0.5410965970515048
so,W40p0,1,13,-0.5410151389117877,0.5410151389117877
so,W10p0,4,6,0.5409226335735489,0.5409226335735489
so,W20p0,4,13,0.5406351520776805,0.5406351520776805
so,W10p0,7,17,-0.5404501986808324,0.5404501986808324
so,W40p0,3,2,-0.5399092065400617,0.5399092065400617
so,W20p0,7,16,0.5389354098252569,0.5389354098252569
so,W20p0,10,20,-0.5382108007742188,0.5382108007742188
thetao,W20p0,4,16,0.5380807988843572,0.5380807988843572
so,W30p0,2,13,-0.5380453664985971,0.5380453664985971
thetao,W10p0,6,13,-0.5378916094970863,0.5378916094970863
thetao,W10p0,6,25,-0.5375351676392625,0.5375351676392625
so,W10p0,7,15,-0.5371435687088146,0.5371435687088146
thetao,W10p0,4,4,-0.5370114097380879,0.5370114097380879
thetao,W10p0,3,25,0.5368037015793847,0.5368037015793847
so,W20p0,7,8,0.5366114335306388,0.5366114335306388
thetao,W20p0,3,16,0.5352868604860974,0.5352868604860974
so,W40p0,1,14,-0.5349707178256156,0.5349707178256156
so,W10p0,7,22,-0.5345882721990496,0.5345882721990496
thetao,W40p0,1,11,-0.5344125276638646,0.5344125276638646
thetao,W40p0,1,14,-0.5341882707538925,0.5341882707538925
thetao,W40p0,3,12,-0.5338434385509058,0.5338434385509058
thetao,W40p0,1,13,-0.5338217987021722,0.5338217987021722
so,W40p0,1,4,-0.5338007086102768,0.5338007086102768
thetao,W20p0,4,14,0.5331217051206425,0.5331217051206425
so,W30p0,3,5,0.5329935432733272,0.5329935432733272
thetao,W30p0,1,3,-0.5323449678503933,0.5323449678503933
so,W30p0,1,14,0.532307590993894,0.532307590993894
so,W40p0,1,7,-0.5316618203114809,0.5316618203114809
so,W20p0,1,15,0.5316501396328234,0.5316501396328234
so,W60p0,2,4,-0.5312355091284718,0.5312355091284718
thetao,W10p0,9,23,0.5310965124681924,0.5310965124681924
so,W10p0,2,21,0.5306879039398195,0.5306879039398195
so,W20p0,4,18,0.5304007229630315,0.5304007229630315
so,W10p0,3,0,0.529737489676894,0.529737489676894
thetao,W40p0,1,16,-0.5296410731816938,0.5296410731816938
thetao,W30p0,5,23,0.5294502553721327,0.5294502553721327
thetao,W40p0,1,8,-0.5291343944946303,0.5291343944946303
so,W10p0,7,16,-0.5288882470461473,0.5288882470461473
