var,lon,mode,lag,corr,abs_corr
thetao,W20p0,3,2,0.5053314282149179,0.5053314282149179
thetao,W10p0,6,5,0.5019697633868629,0.5019697633868629
thetao,W30p0,5,5,0.5018640609961471,0.5018640609961471
thetao,W10p0,6,10,0.5004101001263466,0.5004101001263466
thetao,W60p0,2,8,0.4999877148076334,0.4999877148076334
so,W60p0,2,10,0.4981801095499333,0.4981801095499333
thetao,W10p0,6,6,0.4980660960413624,0.4980660960413624
so,W20p0,1,0,-0.49775031567181394,0.49775031567181394
thetao,W10p0,6,7,0.4941198974971442,0.4941198974971442
so,W20p0,2,3,0.49261043599909343,0.49261043599909343
thetao,W60p0,10,6,-0.4925297941219068,0.4925297941219068
thetao,W10p0,6,1,0.4865274734868524,0.4865274734868524
thetao,W60p0,2,6,0.48609039870591453,0.48609039870591453
thetao,W10p0,10,8,0.4837444551469628,0.4837444551469628
thetao,W10p0,10,7,0.4835135855371188,0.4835135855371188
thetao,W10p0,2,4,0.4827858981716757,0.4827858981716757
thetao,W30p0,2,3,0.4819997221477062,0.4819997221477062
thetao,W60p0,2,1,0.4811574167550537,0.4811574167550537
thetao,W60p0,2,9,0.4790732434517429,0.4790732434517429
so,W20p0,1,1,-0.47665655864260487,0.47665655864260487
so,W60p0,2,4,0.47439417403447165,0.47439417403447165
thetao,W60p0,2,10,0.47425900475041766,0.47425900475041766
thetao,W60p0,2,2,0.4728211412268332,0.4728211412268332
thetao,W60p0,10,7,-0.47245691358523856,0.47245691358523856
thetao,W60p0,2,3,0.4715056345847051,0.4715056345847051
thetao,W10p0,10,6,0.4707532392955726,0.4707532392955726
thetao,W60p0,2,0,0.46984141838258514,0.46984141838258514
thetao,W10p0,10,9,0.46880792989015796,0.46880792989015796
thetao,W20p0,3,1,0.46663202468623893,0.46663202468623893
so,W30p0,2,0,0.46624865319802655,0.46624865319802655
so,W10p0,10,2,-0.4636901957409196,0.4636901957409196
thetao,W10p0,8,10,0.4631233317556073,0.4631233317556073
so,W20p0,2,2,0.46002947254210913,0.46002947254210913
thetao,W60p0,2,5,0.45875972907521867,0.45875972907521867
so,W60p0,2,3,0.45679789736954546,0.45679789736954546
thetao,W60p0,2,4,0.45585390375070145,0.45585390375070145
thetao,W10p0,10,5,0.45146824827988563,0.45146824827988563
so,W20p0,1,2,-0.45077093422618153,0.45077093422618153
thetao,W10p0,8,9,0.44678172596799065,0.44678172596799065
thetao,W30p0,2,2,0.4465144442207319,0.4465144442207319
thetao,W10p0,10,10,0.4446442330360732,0.4446442330360732
thetao,W20p0,10,2,0.4405937139510004,0.4405937139510004
so,W40p0,3,4,-0.4389656428525245,0.4389656428525245
so,W20p0,2,1,0.43892419123688836,0.43892419123688836
thetao,W10p0,2,3,0.4386428333940439,0.4386428333940439
thetao,W10p0,6,0,0.4379330222890298,0.4379330222890298
thetao,W60p0,10,8,-0.4362526093404817,0.4362526093404817
so,W60p0,1,0,0.4362178136998882,0.4362178136998882
thetao,W20p0,10,3,0.4359954884718803,0.4359954884718803
so,W60p0,8,10,0.43251777902317723,0.43251777902317723
so,W30p0,3,0,0.43134857596803916,0.43134857596803916
so,W60p0,8,6,0.4283448862428786,0.4283448862428786
so,W10p0,1,0,-0.42810381965971733,0.42810381965971733
thetao,W20p0,8,7,0.4274701683765722,0.4274701683765722
thetao,W20p0,10,1,0.4270628824452522,0.4270628824452522
thetao,W10p0,10,4,0.42605289514722033,0.42605289514722033
thetao,W10p0,8,8,0.4247118019920041,0.4247118019920041
thetao,W20p0,1,0,0.4236545363889737,0.4236545363889737
thetao,W30p0,2,1,0.4214765422387649,0.4214765422387649
thetao,W30p0,5,6,0.4201858077470599,0.4201858077470599
so,W40p0,3,5,-0.42017821901783414,0.42017821901783414
so,W40p0,3,3,-0.41726836203779555,0.41726836203779555
thetao,W10p0,2,2,0.4148313987613389,0.4148313987613389
so,W60p0,2,2,0.41463150062492093,0.41463150062492093
so,W10p0,10,3,-0.41279701547196873,0.41279701547196873
thetao,W30p0,2,0,0.4110273847325108,0.4110273847325108
thetao,W60p0,4,0,0.40979867011893667,0.40979867011893667
so,W60p0,8,7,0.4093852499576911,0.4093852499576911
so,W40p0,3,6,-0.40902352014612164,0.40902352014612164
so,W20p0,2,0,0.4089561921156344,0.4089561921156344
thetao,W60p0,9,10,0.40827437209948453,0.40827437209948453
thetao,W20p0,10,4,0.401154736424882,0.401154736424882
so,W60p0,8,8,0.40080898907935447,0.40080898907935447
thetao,W20p0,1,1,0.39938931518709087,0.39938931518709087
thetao,W20p0,8,6,0.39846563029202703,0.39846563029202703
thetao,W20p0,8,8,0.3973512968489801,0.3973512968489801
