var,lon_tag,mode,lag,corr,abs_corr
thetao,W60p0,1,11,-0.6694549091399875,0.6694549091399875
so,W40p0,1,7,-0.6692182840144213,0.6692182840144213
thetao,W40p0,2,13,-0.6688388012245676,0.6688388012245676
so,W60p0,3,4,-0.6682997991397222,0.6682997991397222
thetao,W60p0,2,12,0.6672972970887494,0.6672972970887494
thetao,W30p0,5,13,-0.6666280100212617,0.6666280100212617
so,W60p0,3,8,-0.6652089767596705,0.6652089767596705
so,W60p0,3,5,-0.6647044976572674,0.6647044976572674
thetao,W40p0,5,12,-0.663707521186078,0.663707521186078
so,W60p0,3,3,-0.662961068335231,0.662961068335231
thetao,W40p0,5,13,-0.6628044716476019,0.6628044716476019
so,W60p0,5,6,0.6613192242721019,0.6613192242721019
so,W20p0,1,13,-0.6607779098241578,0.6607779098241578
thetao,W20p0,2,16,-0.6598057638691759,0.6598057638691759
so,W30p0,3,16,0.6593861263535488,0.6593861263535488
so,W60p0,1,10,-0.6576390563981217,0.6576390563981217
so,W30p0,1,11,-0.6561722802801396,0.6561722802801396
thetao,W40p0,5,15,-0.6560636876338226,0.6560636876338226
so,W20p0,4,18,-0.655880043364721,0.655880043364721
thetao,W60p0,4,0,0.6555750408381857,0.6555750408381857
thetao,W40p0,5,17,-0.6551940122352979,0.6551940122352979
so,W40p0,6,10,0.6548371328711907,0.6548371328711907
so,W40p0,1,8,-0.654468035483719,0.654468035483719
so,W20p0,4,19,-0.6537910633617343,0.6537910633617343
so,W60p0,3,6,-0.6526250366802774,0.6526250366802774
so,W20p0,1,14,-0.6522128116007415,0.6522128116007415
so,W60p0,3,2,-0.6520699359545472,0.6520699359545472
thetao,W10p0,1,1,-0.6510122913634968,0.6510122913634968
thetao,W40p0,5,16,-0.6508249527938114,0.6508249527938114
thetao,W40p0,2,14,-0.649927681522201,0.649927681522201
thetao,W20p0,2,18,-0.6496890739510919,0.6496890739510919
thetao,W40p0,5,19,-0.6494450030493697,0.6494450030493697
so,W20p0,4,17,-0.6492112348564139,0.6492112348564139
thetao,W40p0,5,9,-0.6486066149047927,0.6486066149047927
thetao,W60p0,5,11,-0.6484598805152808,0.6484598805152808
thetao,W20p0,2,17,-0.6481009916043581,0.6481009916043581
thetao,W60p0,2,13,0.6469153953542246,0.6469153953542246
thetao,W20p0,2,20,-0.6466013127327324,0.6466013127327324
thetao,W60p0,5,9,-0.6464080415957888,0.6464080415957888
thetao,W60p0,5,8,-0.646180118606722,0.646180118606722
thetao,W60p0,5,10,-0.6445930851740216,0.6445930851740216
thetao,W20p0,2,19,-0.6438811776801213,0.6438811776801213
thetao,W40p0,5,10,-0.6434268395254494,0.6434268395254494
thetao,W40p0,5,11,-0.6431007992327004,0.6431007992327004
thetao,W40p0,5,8,-0.6430353746462689,0.6430353746462689
so,W20p0,4,13,-0.6426433992087672,0.6426433992087672
thetao,W40p0,5,7,-0.6421593711469384,0.6421593711469384
so,W20p0,4,14,-0.6421554639439642,0.6421554639439642
thetao,W40p0,5,14,-0.6415076407021862,0.6415076407021862
