var,lon,mode,lag,corr,abs_corr
so,W30p0,2,13,-0.5752249911961281,0.5752249911961281
thetao,W30p0,2,16,-0.5751979941752843,0.5751979941752843
thetao,W10p0,1,12,-0.5749693811257373,0.5749693811257373
thetao,W30p0,9,4,-0.5746936692546301,0.5746936692546301
thetao,W60p0,4,19,-0.5744812147212188,0.5744812147212188
thetao,W30p0,4,18,0.5742877389946327,0.5742877389946327
so,W10p0,9,15,0.5741862810635914,0.5741862810635914
thetao,W40p0,8,15,-0.5738334975024753,0.5738334975024753
so,W10p0,4,5,0.5733581890984406,0.5733581890984406
thetao,W20p0,9,3,-0.5729904065843144,0.5729904065843144
thetao,W30p0,4,8,0.5729438775629175,0.5729438775629175
thetao,W30p0,4,13,0.5729318595798837,0.5729318595798837
thetao,W10p0,1,10,-0.5729152336583784,0.5729152336583784
so,W10p0,4,6,0.5727797824539489,0.5727797824539489
thetao,W10p0,1,9,-0.5726797242473717,0.5726797242473717
thetao,W30p0,2,0,-0.5722923063314663,0.5722923063314663
so,W30p0,2,4,-0.5720073177502955,0.5720073177502955
thetao,W60p0,4,18,-0.5719173890708039,0.5719173890708039
thetao,W30p0,9,6,-0.5718809055861789,0.5718809055861789
thetao,W60p0,2,19,-0.5715966204488866,0.5715966204488866
so,W40p0,3,5,-0.5712482838892131,0.5712482838892131
thetao,W10p0,3,12,0.570891319010154,0.570891319010154
thetao,W40p0,3,5,-0.5702804017535207,0.5702804017535207
so,W10p0,8,7,-0.5699892717852947,0.5699892717852947
thetao,W10p0,2,20,-0.5698270423676473,0.5698270423676473
so,W60p0,1,4,0.5697073030474294,0.5697073030474294
thetao,W30p0,4,7,0.5690401146280138,0.5690401146280138
thetao,W40p0,7,16,0.5690335874026596,0.5690335874026596
thetao,W40p0,3,10,-0.5689776080539616,0.5689776080539616
thetao,W60p0,2,20,-0.5687805854112205,0.5687805854112205
so,W20p0,10,14,-0.5685545683881722,0.5685545683881722
so,W10p0,4,9,0.5685156370548852,0.5685156370548852
so,W30p0,2,15,-0.5683703607314667,0.5683703607314667
thetao,W40p0,3,15,-0.5683548306065807,0.5683548306065807
so,W30p0,2,8,-0.5682670437095744,0.5682670437095744
so,W60p0,2,18,-0.5681231691272318,0.5681231691272318
so,W10p0,4,8,0.5679206180438516,0.5679206180438516
thetao,W40p0,3,14,-0.567477788219214,0.567477788219214
thetao,W60p0,2,9,-0.567456084414163,0.567456084414163
so,W60p0,2,16,-0.567162329163803,0.567162329163803
so,W10p0,4,10,0.5664719341145761,0.5664719341145761
so,W30p0,5,16,0.5661328554512047,0.5661328554512047
so,W10p0,5,9,0.5656937620757756,0.5656937620757756
thetao,W60p0,3,10,0.5656317769338981,0.5656317769338981
so,W10p0,4,13,0.5649475464505143,0.5649475464505143
so,W30p0,9,3,0.564733287947926,0.564733287947926
thetao,W60p0,10,0,-0.564616918143502,0.564616918143502
thetao,W40p0,2,20,-0.5642743967874246,0.5642743967874246
so,W10p0,5,3,0.5642108027074824,0.5642108027074824
thetao,W20p0,2,0,-0.563763543949884,0.563763543949884
thetao,W60p0,2,2,-0.5637581356451885,0.5637581356451885
so,W60p0,2,17,-0.5636047642562756,0.5636047642562756
thetao,W40p0,3,9,-0.5628945203665252,0.5628945203665252
thetao,W60p0,2,14,-0.5628135740842598,0.5628135740842598
thetao,W10p0,4,19,0.5626218337214722,0.5626218337214722
thetao,W10p0,9,3,-0.5621398729485637,0.5621398729485637
thetao,W10p0,9,2,-0.5612752360658224,0.5612752360658224
thetao,W30p0,2,19,-0.5610871275327678,0.5610871275327678
so,W10p0,4,11,0.5606099921065347,0.5606099921065347
thetao,W40p0,8,17,-0.5602963282746465,0.5602963282746465
thetao,W40p0,8,16,-0.5602773870191519,0.5602773870191519
thetao,W40p0,8,20,-0.560237672566054,0.560237672566054
so,W10p0,5,2,0.5601718777298348,0.5601718777298348
so,W30p0,3,0,0.5601639523561497,0.5601639523561497
thetao,W40p0,4,15,0.5601229857945463,0.5601229857945463
so,W40p0,4,18,-0.5591769578315198,0.5591769578315198
thetao,W10p0,4,18,0.5591694641611403,0.5591694641611403
thetao,W20p0,2,6,-0.5589439280473388,0.5589439280473388
thetao,W10p0,9,1,-0.5586418023899754,0.5586418023899754
so,W10p0,8,9,-0.5583779787211393,0.5583779787211393
thetao,W30p0,2,20,-0.5582291801786141,0.5582291801786141
thetao,W60p0,10,11,-0.5576777747496577,0.5576777747496577
so,W40p0,3,9,-0.5574088801088609,0.5574088801088609
thetao,W20p0,3,13,-0.5573456631249465,0.5573456631249465
so,W20p0,9,16,0.5571479797988268,0.5571479797988268
thetao,W40p0,4,17,0.5569492577311763,0.5569492577311763
thetao,W10p0,4,20,0.5568822012378859,0.5568822012378859
so,W40p0,4,8,-0.5567671152902093,0.5567671152902093
thetao,W20p0,5,14,0.5563636682397578,0.5563636682397578
so,W30p0,2,14,-0.5559448643882221,0.5559448643882221
thetao,W10p0,3,11,0.5555612594473551,0.5555612594473551
so,W10p0,4,2,0.5554756837443016,0.5554756837443016
thetao,W60p0,2,4,-0.5553444757617432,0.5553444757617432
thetao,W10p0,2,17,-0.5547784210573231,0.5547784210573231
thetao,W60p0,2,12,-0.5547412253000589,0.5547412253000589
so,W10p0,4,18,0.5544039332485238,0.5544039332485238
thetao,W60p0,4,15,-0.5543857775352695,0.5543857775352695
so,W30p0,9,2,0.5542076071680923,0.5542076071680923
so,W60p0,1,6,0.5538537949225606,0.5538537949225606
thetao,W40p0,3,4,-0.5537178889548943,0.5537178889548943
