N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
20,2,0.0001,-7.449565918502231,5.958864836025141,0.14985575026384812,1.567484055390079,59.5,24.25,4
20,0,0.1,-7.540622159241027,8.054863274054938,0.1725723112879482,1.1490061339096491,20.0,22.75,4
20,1,0.1,-8.175854504348628,4.899644988484733,0.08733369890626042,1.57652916204722,40.25,23.5,4
30,2,0.01,-8.209727334078803,11.110237512494002,0.08104067938347699,1.4764572138331218,82.0,25.0,4
50,0,0.1,-8.487728050524876,6.259945855883578,0.05405468937961619,1.2317502605218857,50.0,25.0,4
20,3,0.01,-8.56793995001277,8.896819429205314,0.04718597765602395,1.6239990925832148,76.0,24.75,4
20,3,0.001,-8.733678996339606,9.31854278643964,0.0478441567933024,1.6672795907478872,76.0,24.75,4
20,0,0.01,-8.737679989589349,9.95046932693415,0.18855696616058898,1.3477254282918927,20.0,22.75,4
20,3,0.0001,-8.74880436003337,9.358782725252604,0.047874468891759385,1.672340755649655,76.0,24.75,4
15,1,0.1,-8.911282173903636,6.623224602095062,0.010523434972493188,1.6017115404535094,31.0,22.25,4
20,0,0.001,-8.935984043780733,10.273175275321476,0.18936278783640217,1.3925313525466534,20.0,22.75,4
20,0,0.0001,-8.95864480194858,10.310269087235577,0.1894137675703467,1.397689984535893,20.0,22.75,4
40,2,0.0001,-9.056486951457751,13.204362362462383,0.044393870820499226,2.148957069664794,99.75,25.0,4
40,0,0.001,-10.137317979296236,13.809534557511453,0.3610650662531154,2.295005559768468,40.0,24.75,4
30,2,0.001,-11.214933449038327,16.208098422197136,0.07197796561933364,1.6553331108252511,82.0,25.0,4
30,2,0.0001,-11.649112091416168,16.948664372650015,0.0711027796440665,1.6804715041305367,82.0,25.0,4
50,0,0.01,-11.65456176560205,9.840922774741784,0.027457383938667822,1.4088857346340484,50.0,25.0,4
50,0,0.001,-12.289754123277108,10.69353261037485,0.02468948388722917,1.441063572430679,50.0,25.0,4
50,0,0.0001,-12.359796974511713,10.789383615036133,0.02441327750545935,1.4445561803833715,50.0,25.0,4
10,3,0.01,-13.058448649781827,19.05316796424437,0.09231214065493885,1.7435434893481738,44.25,23.25,4
20,1,0.001,-15.06454557657439,16.068986168106484,0.05276827614503375,2.3502833268258585,40.25,23.5,4
20,1,0.0001,-16.09844462333731,17.841325380026696,0.047921954082439946,2.6246726302414123,40.25,23.5,4
20,1,0.01,-16.497171878819458,18.57369545355977,0.07285130804394634,2.0352351897017344,40.25,23.5,4
50,1,0.001,-17.28078836494438,24.81039031886956,-0.11641432883227429,2.19466312422057,87.5,25.0,4
15,1,0.01,-17.868460663635116,20.6198993374379,-0.02702958732318682,2.4856457978608986,31.0,22.25,4
15,1,0.001,-23.02459316616979,29.33874581108092,-0.03284740543572012,2.8492046536592173,31.0,22.25,4
15,1,0.0001,-23.779828777772565,30.625405297506195,-0.033451596120185875,2.897239924479494,31.0,22.25,4
40,0,0.0001,-28.312626037640825,45.2024833731624,0.36584145606213636,3.2872439546294534,40.0,24.75,4
10,3,0.001,-74.77723027036481,125.93497621874126,0.09370097852141762,3.3250263108241978,44.25,23.25,4
10,3,0.0001,-112.2482438993024,190.83484289749697,0.09610365140903754,3.996634174675642,44.25,23.25,4
50,1,0.0001,-281.6761453955586,482.68875292488315,-0.14779906843723223,6.943351958924268,87.5,25.0,4
