N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
30,0,10000.0,-1.5264627344419828,2.003037945355218,0.14431672007780255,0.02549359022085108,30.0,24.25,4
5,1,0.1,-1.5289780767268322,1.0301886091021941,0.1132272240846269,0.8815056586606499,11.25,21.25,4
15,3,10000.0,-1.530663653646124,1.9799262236351431,0.11637697934379525,0.038544595125450935,59.5,23.75,4
10,3,10000.0,-1.5308587983834314,1.9808117716751674,0.15726102891381077,0.034129276017232146,44.25,23.25,4
20,1,10000.0,-1.5338368527232162,2.010496581946526,0.07136422267241874,0.03235342063062944,40.25,23.5,4
40,0,10000.0,-1.5339373905661116,1.9643596109400543,0.0652330536205236,0.0334421819555781,40.0,24.75,4
30,1,10.0,-1.55418929160397,0.8499964562904537,0.1877835532247835,0.6858443993174962,57.25,24.75,4
10,2,10000.0,-1.567195347993603,2.0677334038020954,0.12874475429412727,0.03023175191292788,34.25,22.5,4
15,2,10000.0,-1.5737495434859725,2.0450991826655858,0.09196213795789537,0.0342672811903554,46.25,23.0,4
40,3,0.1,-1.576211189892509,0.6644672243924967,-0.009318485208948507,0.8914107054609512,125.75,25.0,4
15,1,10000.0,-1.6163622582840063,2.1328478268031845,0.10861036760598397,0.02813022058146273,31.0,22.25,4
5,1,1.0,-1.6232168840482248,1.394791045764149,0.1272597121821655,0.753486795751789,11.25,21.25,4
20,0,10000.0,-1.6279619300289678,2.1366037425489695,0.11489857061157727,0.020028777001540585,20.0,22.75,4
10,1,10000.0,-1.6290833721628806,2.172785008117554,0.1675469388333538,0.023661138188642194,22.5,21.5,4
5,3,10000.0,-1.6326957432780516,2.1415624820797388,0.18738373982676013,0.023020713867962634,22.0,23.0,4
5,0,1.0,-1.6487813801768894,1.5874332685508417,0.11128121504632676,0.5876559754157181,5.0,20.25,4
15,2,10.0,-1.6542635586632408,0.8602093684102975,0.11448666830718243,0.7307948527832232,46.25,23.0,4
5,2,10000.0,-1.660177380008641,2.2109669841783406,0.18994211302909492,0.02099564193371962,17.25,22.25,4
15,0,10000.0,-1.6838201516572906,2.22409046164597,0.12088300291306887,0.017644132842388943,15.0,21.5,4
10,0,1.0,-1.6868055947165561,1.785439460576864,0.03536481646922462,0.5522720346602389,10.0,20.5,4
50,3,100000.0,-1.7016669426932576,2.141347346078764,0.10113910055706513,0.008022851338045318,152.75,25.0,4
5,1,10000.0,-1.7075303448588823,2.280951860792983,0.18499501830851786,0.01613827878600202,11.25,21.25,4
50,2,100000.0,-1.709266931790083,2.1519912155681724,0.08805285468703761,0.007303952437017305,121.25,25.0,4
40,3,100000.0,-1.7121959377307001,2.1613381896022554,0.09128572240475524,0.007750468544527407,125.75,25.0,4
30,3,100000.0,-1.7124610547330197,2.1689630394696655,0.0829222119694559,0.006368153570713896,103.75,25.0,4
30,0,100000.0,-1.7128222855565731,2.210096658399432,0.14391482799406835,0.0027309656609713767,30.0,24.25,4
40,2,100000.0,-1.7179600062024065,2.1687286644319133,0.06273716664364315,0.006956000247777197,99.75,25.0,4
50,1,100000.0,-1.7182242682002977,2.1657125751696005,0.08517433497489087,0.0061922986188441,87.5,25.0,4
30,2,100000.0,-1.71867457917127,2.175609559780791,0.07473618017496261,0.005576419714422464,82.0,25.0,4
30,1,100000.0,-1.7219060557951444,2.1864040069846307,0.0829255842390717,0.004436274037009129,57.25,24.75,4
40,1,100000.0,-1.7258107439442496,2.178549026102157,0.05137940683365639,0.005766390587280546,71.75,25.0,4
20,3,100000.0,-1.726623637372609,2.1805187297173836,0.06072911624388833,0.005200672070981157,76.0,24.75,4
50,0,100000.0,-1.7318263722733511,2.1837786116265585,0.11004662648453718,0.004318109574758285,50.0,25.0,4
40,0,100000.0,-1.7375950334744743,2.1912979367723486,0.06482071831789991,0.0036550707906208256,40.0,24.75,4
10,0,10000.0,-1.7424068027573854,2.2755260194948264,0.17963871761803035,0.01314785458637016,10.0,20.5,4
20,2,100000.0,-1.7485949603773636,2.2275144497439214,0.047982280017763175,0.004581026894871668,59.5,24.25,4
20,1,100000.0,-1.7501332115899393,2.2737256013237683,0.07063827951261437,0.003510571474804112,40.25,23.5,4
20,0,100000.0,-1.7681314025793482,2.320047290749784,0.11411561454624816,0.0021115343310956773,20.0,22.75,4
10,2,100000.0,-1.7870868681374903,2.3326222526239833,0.12978167036408159,0.0032668749250390258,34.25,22.5,4
40,3,0.01,-1.7883479361309298,0.9501269885465308,-0.015516931425789748,0.9826502399713306,125.75,25.0,4
5,0,10000.0,-1.7952718801102552,2.34406156673658,0.13752611228982467,0.00912802522248321,5.0,20.25,4
10,1,100000.0,-1.7984009524496642,2.3741750670186366,0.16803067080615597,0.002510858073584306,22.5,21.5,4
10,3,100000.0,-1.8014879951825833,2.315103779230454,0.15883496681520104,0.0037370491477052657,44.25,23.25,4
40,3,0.001,-1.8028805833514296,0.9664771601689852,-0.014626611616499849,0.9959084876386166,125.75,25.0,4
40,3,0.0001,-1.8041234091921152,0.9677391153437388,-0.014498205257639953,0.997310577326354,125.75,25.0,4
15,2,100000.0,-1.8046711484899742,2.3197079961093587,0.09160192447903263,0.003763645023669097,46.25,23.0,4
15,3,100000.0,-1.8055430930332081,2.311491313359879,0.11683541857731342,0.004289369015263531,59.5,23.75,4
15,1,100000.0,-1.806449486481471,2.363602950009042,0.1085915429261935,0.003025849944444495,31.0,22.25,4
5,2,100000.0,-1.8121802383414818,2.373551457547701,0.1899556125760848,0.0022014638037719035,17.25,22.25,4
