N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
20,1,30.0,-0.6788594269593279,0.9008778927259121,0.3517888948597086,1.0075817781555685,31.666666666666668,17.333333333333332,6,0,maxlag,detrend,detrend,0.34648165015081067
15,0,0.03,-0.8967949605193114,1.056249192021056,0.36246901477763355,0.9771069989730666,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.34644391405878017
15,0,0.1,-0.8923025818105331,1.0546132113918718,0.3630209583333137,0.9749885964847887,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.34551297587266583
30,1,30.0,-0.7960577176376521,0.9146556688643893,0.3614378155008293,0.9751081919683241,44.666666666666664,18.0,6,0,maxlag,detrend,detrend,0.3440135498786562
15,0,0.3,-0.881485471084778,1.0499541178431495,0.3641226923732186,0.970429126555977,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3434230809624025
15,1,30.0,-0.6634294409894854,0.9619565288086098,0.3669936167778498,0.9656465703959912,25.0,17.333333333333332,6,0,maxlag,detrend,detrend,0.34294621605504366
40,1,10.0,-0.631540629620886,0.762586997936544,0.3859338686050177,1.0629206754731644,57.0,18.666666666666668,6,0,maxlag,detrend,detrend,0.3418893957738027
15,0,1.0,-0.8542252307389724,1.0359755836795321,0.36607101602836484,0.9612765187426661,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3389645791482311
5,2,10.0,-0.9429670643508049,0.6212485200579181,0.37879451403661696,0.9408040115555621,15.0,16.0,6,0,maxlag,detrend,detrend,0.33735732212551045
30,2,30.0,-0.7830016571041757,0.9190576867570414,0.386519352249864,0.9215429793141815,57.666666666666664,19.0,6,0,maxlag,detrend,detrend,0.33159943776979106
15,1,10.0,-0.7826156045750293,1.0386524453370463,0.38607544290389884,1.079830037261545,25.0,17.333333333333332,6,0,maxlag,detrend,detrend,0.3301944168208173
15,0,3.0,-0.804554796103513,1.004665629303344,0.3672499637680437,0.946214189345722,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3295998963100491
40,2,3.0,-0.8016989423983144,0.9408487211522581,0.3445455463551119,1.0285515251986974,72.66666666666667,19.666666666666668,6,0,maxlag,detrend,detrend,0.32455947871602375
40,1,30.0,-0.5614878447817339,0.7698051148621636,0.3791406516183464,0.9210459278821398,57.0,18.666666666666668,6,0,maxlag,detrend,detrend,0.32387280113584427
20,0,10.0,-0.7390349393568626,0.9747955233135571,0.339415652461534,0.9757664463188127,20.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3224521648847029
20,2,3.0,-0.718235679761715,0.9902433096980549,0.4291312108925975,1.1631182026559665,41.0,18.333333333333332,6,0,maxlag,detrend,detrend,0.3149484690334209
40,2,10.0,-0.5840615576807641,0.8074851089477865,0.3795912217412603,0.9020058979773862,72.66666666666667,19.666666666666668,6,0,maxlag,detrend,detrend,0.31099535032543063
15,2,0.3,-0.9961433808756746,1.1065209713094586,0.45270469905326327,1.2099654595907559,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.3057288773397342
15,0,10.0,-0.7145661974236898,0.9237406907078,0.3621473589565554,0.9079691970852721,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.2977257969162459
10,1,1.0,-0.859551617154452,0.9098487770284693,0.36460295450895286,0.9033447510249658,19.0,17.0,6,0,maxlag,detrend,detrend,0.29694428022642894
10,2,30.0,-0.6044517305259157,0.7559001248987492,0.4179741817574132,0.8270335806874911,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.296897688238657
10,1,3.0,-0.8180095236104096,0.9086954376899551,0.3760936649283911,0.8855472712464975,19.0,17.0,6,0,maxlag,detrend,detrend,0.2959767548009393
20,0,3.0,-0.8258931983139188,1.0312871942981279,0.3257659434615325,1.0436749906644576,20.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.29519344999641217
10,1,0.3,-0.8897878635229365,0.9061148830250157,0.3527274797822693,0.9157591149381914,19.0,17.0,6,0,maxlag,detrend,detrend,0.2937588602390033
10,1,0.1,-0.9036788175032875,0.9034215833754793,0.3467379173860902,0.9219844222063669,19.0,17.0,6,0,maxlag,detrend,detrend,0.29212701293054705
10,1,0.03,-0.9098794878844206,0.9017996823197384,0.3439620468656528,0.9249674588271938,19.0,17.0,6,0,maxlag,detrend,detrend,0.29143926804468845
10,1,0.01,-0.9118501689125997,0.9012083060547138,0.3430662163598117,0.9259459310012063,19.0,17.0,6,0,maxlag,detrend,detrend,0.2912283680606561
10,1,0.003,-0.912565205974551,0.9009835077152853,0.3427395419451463,0.9263046878424895,19.0,17.0,6,0,maxlag,detrend,detrend,0.29115282343488896
10,1,0.001,-0.912772069833162,0.9009174183683143,0.3426448711651637,0.9264088502315199,19.0,17.0,6,0,maxlag,detrend,detrend,0.2911310663272276
10,1,0.0003,-0.912844747778491,0.9008940853415244,0.3426115929916933,0.9264454855336024,19.0,17.0,6,0,maxlag,detrend,detrend,0.29112343286521497
10,1,0.0001,-0.9128655393283478,0.9008873993618776,0.34260207119136127,0.9264559698798934,19.0,17.0,6,0,maxlag,detrend,detrend,0.2911212501072867
