N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
40,1,0.003,-1.0904216738136858,1.0875005490224872,0.19883319316984746,1.1308359452167969,104.33333333333333,15.0,6,0,none,diff1,diff1,0.10724803151808966
20,1,30.0,0.06264427552271945,0.1662721422613744,0.3525315876361361,0.6453264497562166,53.333333333333336,15.0,6,0,none,diff1,diff1,0.10426010246548773
40,1,0.001,-1.1085392704813921,1.1125476856348444,0.19708870654474256,1.1345101028316436,104.33333333333333,15.0,6,0,none,diff1,diff1,0.10293163456259208
40,1,0.0003,-1.1150552434811714,1.1215612622054956,0.19646844835928293,1.1358269245783263,104.33333333333333,15.0,6,0,none,diff1,diff1,0.10138960115445449
40,1,0.0001,-1.1169341423694328,1.1241608689513776,0.19629029392910302,1.136206192847923,104.33333333333333,15.0,6,0,none,diff1,diff1,0.10094595893555691
30,0,3.0,0.021838493282916243,0.10286973085638075,0.34750876989798263,0.6410997532326072,30.0,14.666666666666666,6,0,none,diff1,diff1,0.09627859716080767
15,1,10.0,0.03858333691943824,0.2890635306502044,0.3284821595689215,0.6587526126336973,39.666666666666664,15.0,6,0,none,diff1,diff1,0.08960898841250967
5,1,30.0,0.12649189907399838,0.18730291338211597,0.39889858879698264,0.5556499382234604,12.333333333333334,13.0,6,0,none,diff1,diff1,0.08785354555340497
5,1,10.0,0.09368478931448636,0.20705270067921958,0.38165036845226963,0.571943433911044,12.333333333333334,13.0,6,0,none,diff1,diff1,0.08201077219000041
20,0,30.0,0.1193485435560278,0.21081801849796744,0.3843731400244539,0.5671035169389834,20.0,14.333333333333334,6,0,none,diff1,diff1,0.08134560188174228
5,1,3.0,0.06885975285761314,0.21901716250990927,0.36989597204485003,0.5833656499460629,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07825192700709405
20,2,0.1,-1.2951308282464051,1.3300852871473705,0.3313711508347101,1.3632693023992346,80.66666666666667,15.0,6,0,none,diff1,diff1,0.07708263915524588
5,1,1.0,0.05874352706746314,0.22353598787622858,0.3653304895046447,0.5879562865239875,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07689989007143594
5,1,0.3,0.0547295772478833,0.22529170281842587,0.36354937965615175,0.5897738409161061,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07639106829742603
5,1,0.1,0.05353091381598155,0.22581256827401094,0.36302065425293223,0.5903163444106422,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07624209534038179
5,1,0.03,0.053105666317468714,0.22599700015158553,0.36283342126261037,0.590508784031016,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07618957008432159
5,1,0.01,0.05298361450458877,0.22604990103596104,0.3627797157158757,0.5905640147251493,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07617452602348024
5,1,0.003,0.052940838061693064,0.22606843810009505,0.36276089657943184,0.5905833716383853,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07616925672630154
5,1,0.001,0.0529286106592998,0.2260737364793825,0.3627555175665578,0.5905889046813262,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07616775084348615
5,1,0.0003,0.0529243304842029,0.22607559113015305,0.3627536346896904,0.5905908415086041,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07616722374571328
5,1,0.0001,0.05292310752138,0.2260761210511405,0.36275309670369077,0.5905913949128067,12.333333333333334,13.0,6,0,none,diff1,diff1,0.07616707314265547
15,1,30.0,0.10730509407277307,0.2665376728323666,0.3491845081793348,0.5945117663006226,39.666666666666664,15.0,6,0,none,diff1,diff1,0.06534274458977063
30,0,10.0,0.04496570198937203,0.1329633126013332,0.3409328417365421,0.5972971680335918,30.0,14.666666666666666,6,0,none,diff1,diff1,0.059040859360056375
30,1,0.1,-1.2864772117948295,1.1326432863138154,0.2778715719443438,1.3144528305098275,79.0,15.0,6,0,none,diff1,diff1,0.057754590587464544
10,1,0.0001,-0.08729755213211927,0.2059250853347016,0.2831322341317141,0.6772168086682574,27.0,15.0,6,0,none,diff1,diff1,0.05718400019949432
10,1,0.0003,-0.08729419971651176,0.20592271739407614,0.2831329440955619,0.6772145342129351,27.0,15.0,6,0,none,diff1,diff1,0.05718311804461648
10,1,0.001,-0.08728246782478688,0.2059144312106798,0.2831354287935004,0.6772065746573072,27.0,15.0,6,0,none,diff1,diff1,0.05718003105361544
10,1,0.003,-0.0872489615239181,0.20589077018305227,0.283142526426246,0.677183841962767,27.0,15.0,6,0,none,diff1,diff1,0.057171215800182945
