n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
24,20,0.7532471021275708,0.8708359086976089,0.009755001052144552,1.0452244112411044,-0.5663878114335417,120,25,so W30p0 EOF1 lag3
25,20,0.7540444415473133,0.8717572512130191,0.000797339419742471,1.044981544608402,-0.5633461643055546,120,25,so W30p0 EOF1 lag5
26,20,0.7542573487183327,0.8719349618150783,0.00021290717101940526,1.0433757885028458,-0.5432357712376735,120,25,so W60p0 EOF1 lag9
27,20,0.7615289274354571,0.875766199301632,0.007271578717124361,1.0456966345044207,-0.5723019072344,120,25,thetao W10p0 EOF2 lag20
28,20,0.7542465695550512,0.8722888819272451,-0.007282357880405876,1.0448555134561266,-0.5617677577204617,120,25,thetao W20p0 EOF9 lag2
29,20,0.7540262656959281,0.8721788326924824,-0.00022030385912308326,1.0448107337960246,-0.5612069399456002,120,25,so W10p0 EOF5 lag15
30,20,0.7564497321237125,0.8736404109925349,0.0024234664277843487,1.0484223974695948,-0.606439198974948,120,25,thetao W20p0 EOF3 lag20
31,20,0.757580607804397,0.874440485207217,0.0011308756806844844,1.0476763495671015,-0.597095739831498,120,25,so W60p0 EOF1 lag11
32,20,0.754391096716003,0.8729748267302695,-0.003189511088393937,1.047177467572317,-0.5908477716781119,120,25,thetao W20p0 EOF9 lag4
33,20,0.7557554655730957,0.8736558101685595,0.0013643688570926793,1.047711314819011,-0.5975336425473571,120,25,thetao W10p0 EOF1 lag18
34,20,0.7579508969540674,0.8747619059168061,0.0021954313809716686,1.0484680288296273,-0.607010683388615,120,25,thetao W10p0 EOF1 lag20
35,20,0.7576570861241281,0.8747222246089531,-0.0002938108299392894,1.0495787298310835,-0.6209210360523131,120,25,thetao W20p0 EOF3 lag19
36,20,0.7584765363701624,0.8751376235845393,0.0008194502460343589,1.0499777037661377,-0.6259177616633887,120,25,so W10p0 EOF5 lag17
37,20,0.7589437531916519,0.8753783663110495,0.00046721682148942456,1.0502237964249175,-0.628999811348301,120,25,thetao W10p0 EOF1 lag16
38,20,0.75970461479636,0.8757502563389442,0.0007608616047081185,1.050358741777376,-0.6306898588413442,120,25,thetao W10p0 EOF1 lag19
39,20,0.7596489413416436,0.8757277599876765,-5.567345471635399e-05,1.0504103615074987,-0.6313363412425103,120,25,thetao W10p0 EOF1 lag15
40,20,0.7601444024584204,0.8759704196601739,0.0004954611167767853,1.0505574256137395,-0.6331781632804083,120,25,thetao W10p0 EOF1 lag17
41,20,0.7601370737298152,0.8759831340192886,-7.328728605204837e-06,1.0506582826718414,-0.6344412910213386,120,25,so W10p0 EOF5 lag19
42,20,0.7589825249541402,0.8754736358104264,-0.0011545487756750017,1.0511232582111167,-0.6402646167614049,120,25,thetao W20p0 EOF3 lag18
43,20,0.7599117826823014,0.8759196518397316,0.0009292577281612147,1.0515125532752418,-0.6451401247740166,120,25,thetao W10p0 EOF2 lag13
44,20,0.7740911416049727,0.8829485104045988,0.014179358922671303,1.0547834938338216,-0.6861051879658234,120,25,so W30p0 EOF9 lag16
45,20,0.7794812130143253,0.8856426322280959,0.005390071409352548,1.0550233668059958,-0.6891093426690558,120,25,so W20p0 EOF10 lag20
46,20,0.778481981457614,0.8851850517409419,-0.000999231556711222,1.0551634020706964,-0.6908631359174577,120,25,thetao W30p0 EOF4 lag20
47,20,0.7785858080601025,0.8852402305802254,0.00010382660248842157,1.054470311964996,-0.6821829170418309,120,25,so W60p0 EOF1 lag10
48,20,0.7777414256613248,0.8848713550870881,-0.0008443823987777099,1.0548394241378949,-0.6868056557363693,120,25,thetao W20p0 EOF3 lag17
49,20,0.7771998010530932,0.8845979154053848,-0.0005416246082315945,1.0549126401489668,-0.6877226086636715,120,25,thetao W10p0 EOF2 lag3
50,20,0.7752430312524271,0.8836497235168493,-0.0019567698006660583,1.0546094680568223,-0.6839256995819304,120,25,thetao W20p0 EOF9 lag1
51,20,0.7742322048184271,0.8832137978286122,-0.0010108264339999673,1.0549256415566548,-0.6878854375130512,120,25,so W20p0 EOF10 lag16
52,20,0.7748251237552986,0.8834848330599707,0.0005929189368714116,1.0550298573769694,-0.6891906301902845,120,25,thetao W20p0 EOF9 lag5
53,20,0.7746063817876886,0.8833717272246162,-0.0002187419676099589,1.0550017558562546,-0.6888386884318732,120,25,thetao W10p0 EOF2 lag4
54,20,0.7752020888109883,0.8836037400431037,0.0005957070232996964,1.0551955516832394,-0.6912657757349207,120,25,thetao W10p0 EOF2 lag11
55,20,0.7738906958710474,0.8830104011513379,-0.0013113929399408697,1.055470942457572,-0.6947147532601652,120,25,thetao W20p0 EOF3 lag16
56,20,0.7749049025614364,0.8834562925898393,0.0010142066903889857,1.0560041378760905,-0.7013924606724504,120,25,thetao W10p0 EOF2 lag12
57,20,0.7747728998091179,0.8833968569927795,-0.00013200275231850522,1.0560030920082366,-0.7013793622862444,120,25,thetao W10p0 EOF1 lag14
58,20,0.7743369153715716,0.8831912360335221,-0.00043598443754633287,1.0559529838238666,-0.7007518103933271,120,25,thetao W30p0 EOF4 lag19
59,20,0.771655652914548,0.8818514277660949,-0.0026812624570236032,1.0558657991883973,-0.6996599152526494,120,25,thetao W20p0 EOF9 lag0
60,20,0.770293796172026,0.8812388409955986,-0.001361856742521983,1.0563991249589595,-0.7063392551861065,120,25,thetao W60p0 EOF2 lag1
61,20,0.7704071534290674,0.8812967122880527,0.0001133572570414243,1.0564066952590725,-0.7064340651702576,120,25,thetao W10p0 EOF2 lag5
