member,year,is_train_time,y_true,y_pred
r11i1p1f1,1883,True,19.734207,20.17329599828915
r11i1p1f1,1884,True,21.02608,20.708979073784647
r11i1p1f1,1885,True,21.066132,20.791100438692453
r11i1p1f1,1886,True,21.763351,20.704452237249452
r11i1p1f1,1887,True,21.64627,21.135463939678818
r11i1p1f1,1888,True,21.791553,21.045620562351612
r11i1p1f1,1889,True,20.185446,20.17096871806524
r11i1p1f1,1890,True,20.134748,20.547250922947885
r11i1p1f1,1891,True,21.254923,20.72010722829452
r11i1p1f1,1892,True,21.413776,20.888697493362418
r11i1p1f1,1893,True,21.12724,21.072811212947094
r11i1p1f1,1894,True,20.33061,20.855519046397816
r11i1p1f1,1895,True,21.205206,20.53706061808488
r11i1p1f1,1896,True,20.443504,20.915838085539498
r11i1p1f1,1897,True,20.502298,21.204126102092758
r11i1p1f1,1898,True,20.270628,21.071702900406997
r11i1p1f1,1899,True,21.526484,20.427154866678645
r11i1p1f1,1900,True,21.018034,20.511170232267542
r11i1p1f1,1901,True,21.77319,20.9710687496124
r11i1p1f1,1902,True,20.964941,19.88599551007742
r11i1p1f1,1903,True,19.731815,19.008510627042867
r11i1p1f1,1904,True,20.303087,18.866042541666182
r11i1p1f1,1905,True,20.20302,19.647742051835156
r11i1p1f1,1906,True,18.861933,18.133532748500333
r11i1p1f1,1907,True,19.467436,18.556085385348922
r11i1p1f1,1908,True,19.060307,18.690869014183484
r11i1p1f1,1909,True,19.76015,20.173010060363474
r11i1p1f1,1910,True,18.625078,18.599504941373205
r11i1p1f1,1911,True,18.572718,18.003532465433903
r11i1p1f1,1912,True,16.77913,17.32216003624358
r11i1p1f1,1913,True,19.2399,17.99090437274396
r11i1p1f1,1914,True,19.472334,18.75041484491222
r11i1p1f1,1915,True,19.527617,18.994625097336836
r11i1p1f1,1916,True,19.425013,18.69677902258791
r11i1p1f1,1917,True,17.946482,18.98496744351899
r11i1p1f1,1918,True,20.333805,20.452670722716046
r11i1p1f1,1919,True,20.753674,20.85112942263571
r11i1p1f1,1920,True,20.672188,21.21510532792321
r11i1p1f1,1921,True,20.661432,20.6539139582675
r11i1p1f1,1922,True,20.302399,21.175062935908908
r11i1p1f1,1923,True,18.496418,19.689921440461358
r11i1p1f1,1924,True,20.612803,20.874605241333956
r11i1p1f1,1925,True,22.220493,21.420651212035093
r11i1p1f1,1926,True,21.36728,20.726227926501913
r11i1p1f1,1927,True,19.89423,19.80789369897496
r11i1p1f1,1928,True,18.782974,19.164947992962077
r11i1p1f1,1929,True,18.529,19.15758606933585
r11i1p1f1,1930,True,19.2215,19.365543956330715
r11i1p1f1,1931,True,18.056736,16.641051047150107
r11i1p1f1,1932,True,16.203735,16.445600335139982
r11i1p1f1,1933,True,16.618404,16.402561057968573
r11i1p1f1,1934,True,17.766949,17.186677947254967
r11i1p1f1,1935,True,18.433079,18.458931147625027
r11i1p1f1,1936,True,19.171705,18.318725972047687
r11i1p1f1,1937,True,18.543957,18.093201902616446
r11i1p1f1,1938,True,18.93933,17.547032802152653
r11i1p1f1,1939,True,20.078394,18.938694488999776
r11i1p1f1,1940,True,19.192123,18.681728498411847
r11i1p1f1,1941,True,18.169697,18.20747437557276
r11i1p1f1,1942,True,19.26576,18.683920023963893
r11i1p1f1,1943,True,20.08548,19.305117199993724
r11i1p1f1,1944,True,19.354101,19.713782946864654
r11i1p1f1,1945,True,19.95564,19.331773987527576
r11i1p1f1,1946,True,20.938444,21.212322361092735
r11i1p1f1,1947,True,20.42081,22.0161439275179
r11i1p1f1,1948,True,22.468887,21.697084472632543
r11i1p1f1,1949,True,22.87983,22.724045119831985
r11i1p1f1,1950,True,23.216768,23.17928628672236
r11i1p1f1,1951,True,21.714039,22.050248445617722
r11i1p1f1,1952,True,20.629816,21.2797698853841
r11i1p1f1,1953,True,18.017895,18.67980821736827
r11i1p1f1,1954,True,17.989262,18.198594881264285
r11i1p1f1,1955,True,17.884268,19.08208934018082
r11i1p1f1,1956,True,18.483961,19.010439683927608
r11i1p1f1,1957,True,19.722279,19.463325559983964
r11i1p1f1,1958,True,21.159601,20.559846370759445
r11i1p1f1,1959,True,19.882326,19.548602876333273
r11i1p1f1,1960,True,19.682777,19.056946083559062
r11i1p1f1,1961,True,17.559423,16.369663411744163
r11i1p1f1,1962,True,16.167145,15.284800046957034
r11i1p1f1,1963,True,15.933079,16.06424517907237
r11i1p1f1,1964,True,18.19674,16.790195321711103
r11i1p1f1,1965,True,17.593643,16.88799049178742
r11i1p1f1,1966,True,17.963202,17.918829862312375
r11i1p1f1,1967,True,19.129238,19.42613965726561
r11i1p1f1,1968,True,18.083443,18.527154384208725
r11i1p1f1,1969,True,17.665064,18.56591153915769
r11i1p1f1,1970,True,18.100187,18.705742652967576
r11i1p1f1,1971,True,18.978462,19.465462882857633
r11i1p1f1,1972,True,17.632347,18.911498096630336
r11i1p1f1,1973,True,19.381649,19.00464596382376
r11i1p1f1,1974,True,19.491405,19.67942332412319
r11i1p1f1,1975,True,21.783772,21.298688866425238
r11i1p1f1,1976,True,20.78847,20.153900129811323
r11i1p1f1,1977,True,20.596556,19.63232729752457
r11i1p1f1,1978,True,21.567915,20.535447109017223
r11i1p1f1,1979,True,21.932766,20.69188269360863
r11i1p1f1,1980,True,20.452295,19.909436488948884
r11i1p1f1,1981,True,19.346117,19.0303531908702
r11i1p1f1,1982,True,16.182013,18.074887619060437
r11i1p1f1,1983,True,17.219528,17.50801624829151
r11i1p1f1,1984,True,17.28773,17.933198190275014
r11i1p1f1,1985,True,17.053179,18.211531900052208
r11i1p1f1,1986,True,18.951283,18.542257761570887
r11i1p1f1,1987,True,20.165356,19.84438533158064
r11i1p1f1,1988,True,20.137012,20.23514448691186
r11i1p1f1,1989,True,18.947504,18.728116173379192
r12i1p1f1,1853,True,19.619867,19.491197684325062
r12i1p1f1,1854,True,19.371256,17.86157328825632
r12i1p1f1,1855,True,16.794044,16.520476180907455
r12i1p1f1,1856,True,17.041166,16.38255616836597
r12i1p1f1,1857,True,17.692745,17.947863487066773
r12i1p1f1,1858,True,17.637693,18.22923796172906
r12i1p1f1,1859,True,16.879774,17.66995652320376
r12i1p1f1,1860,True,17.45017,16.43219152755443
r12i1p1f1,1861,True,16.904844,16.043029937651127
r12i1p1f1,1862,True,17.25289,15.890633978566882
r12i1p1f1,1863,True,15.679454,14.983192158474363
r12i1p1f1,1864,True,15.670601,15.238932358600461
r12i1p1f1,1865,True,16.647017,15.420936040081695
r12i1p1f1,1866,True,18.733093,17.866520616234187
r12i1p1f1,1867,True,18.367123,18.097931479630613
r12i1p1f1,1868,True,18.37876,17.793040976314554
r12i1p1f1,1869,True,20.162039,19.79375329320653
r12i1p1f1,1870,True,21.000292,20.46119308938808
r12i1p1f1,1871,True,20.38461,21.507471299610483
r12i1p1f1,1872,True,22.178562,21.846954572675738
r12i1p1f1,1873,True,21.349487,21.565020914107176
r12i1p1f1,1874,True,19.823532,20.741364642716523
r12i1p1f1,1875,True,19.250544,19.61860760822394
r12i1p1f1,1876,True,18.734486,19.099504592347422
r12i1p1f1,1877,True,19.981422,19.418807218111855
r12i1p1f1,1878,True,18.519463,18.84486552320635
r12i1p1f1,1879,True,18.505579,19.59015904636137
r12i1p1f1,1880,True,18.084818,19.405826290529035
r12i1p1f1,1881,True,19.956753,20.572389361350464
r12i1p1f1,1882,True,20.526926,20.988814767100646
r12i1p1f1,1883,True,22.272503,21.29425623420005
r12i1p1f1,1884,True,24.14238,22.953375048063265
r12i1p1f1,1885,True,23.75317,21.950097117082134
r12i1p1f1,1886,True,22.252518,21.016162098473384
r12i1p1f1,1887,True,19.984407,19.705662400003405
r12i1p1f1,1888,True,20.622763,20.31854767949585
r12i1p1f1,1889,True,22.119661,21.604426627109518
r12i1p1f1,1890,True,22.6261,21.38750722576396
r12i1p1f1,1891,True,21.556448,20.952722319501383
r12i1p1f1,1892,True,20.288712,20.304201784951495
r12i1p1f1,1893,True,20.100353,20.017041837868813
r12i1p1f1,1894,True,20.752768,20.770198298222827
r12i1p1f1,1895,True,21.085058,21.02742969112245
r12i1p1f1,1896,True,20.946617,21.856019025225706
r12i1p1f1,1897,True,20.118898,21.019768973648095
r12i1p1f1,1898,True,20.379663,21.381781129445418
r12i1p1f1,1899,True,20.923895,20.409540219613245
r12i1p1f1,1900,True,21.460253,20.56579108422049
r12i1p1f1,1901,True,20.052282,20.211007600053414
r12i1p1f1,1902,True,18.822266,18.283791416663625
r12i1p1f1,1903,True,17.790066,18.44018871034199
r12i1p1f1,1904,True,17.3061,17.48898529897795
r12i1p1f1,1905,True,18.68319,18.3721864193148
r12i1p1f1,1906,True,17.537302,18.722082033432766
r12i1p1f1,1907,True,19.321218,19.06279984164854
r12i1p1f1,1908,True,19.815088,19.24655384022869
r12i1p1f1,1909,True,18.84926,18.73816655849542
r12i1p1f1,1910,True,17.699764,18.228119539178053
r12i1p1f1,1911,True,20.238344,19.564997141845442
r12i1p1f1,1912,True,19.456673,19.883682894998838
r12i1p1f1,1913,True,19.816072,19.554438672689223
r12i1p1f1,1914,True,21.057583,20.124845387556427
r12i1p1f1,1915,True,22.126719,21.432604278889777
r12i1p1f1,1916,True,20.376118,20.684259386606264
r12i1p1f1,1917,True,20.456099,19.216082714650575
r12i1p1f1,1918,True,21.689453,20.547431613692858
r12i1p1f1,1919,True,20.559034,21.177898656622084
r12i1p1f1,1920,True,19.680088,20.562148354535154
r12i1p1f1,1921,True,19.386187,19.61834171446935
r12i1p1f1,1922,True,18.992878,19.785301420795843
r12i1p1f1,1923,True,20.390598,20.568372618793834
r12i1p1f1,1924,True,22.527895,22.525282474303502
r12i1p1f1,1925,True,21.96423,22.30437805458975
r12i1p1f1,1926,True,20.338802,20.17139872945095
r12i1p1f1,1927,True,17.082872,17.972994371580683
r12i1p1f1,1928,True,17.333265,17.348560549220803
r12i1p1f1,1929,True,16.72352,16.243195497621798
r12i1p1f1,1930,True,16.000927,15.974044284437857
r12i1p1f1,1931,True,17.476793,17.54943188984632
r12i1p1f1,1932,True,18.500261,18.037605961161045
r12i1p1f1,1933,True,17.330223,18.528120933130523
r12i1p1f1,1934,True,17.463985,17.54212914969729
r12i1p1f1,1935,True,17.85256,17.355669829001346
r12i1p1f1,1936,True,17.067831,17.812063729841793
r12i1p1f1,1937,True,17.392475,17.353946739810887
r12i1p1f1,1938,True,15.9323635,17.43669707374144
r12i1p1f1,1939,True,17.63768,17.896008773905187
r12i1p1f1,1940,True,20.208742,21.009874364182426
r12i1p1f1,1941,True,21.791557,21.752242391776868
r12i1p1f1,1942,True,19.526777,20.146197382886413
r12i1p1f1,1943,True,22.262074,20.959763566956084
r12i1p1f1,1944,True,21.678827,20.392826424033167
r12i1p1f1,1945,True,22.996473,21.855731259333393
r12i1p1f1,1946,True,22.63028,21.769936994077042
r12i1p1f1,1947,True,20.912088,20.358616435606017
r12i1p1f1,1948,True,20.547544,20.154160965847424
r12i1p1f1,1949,True,16.756716,18.290740273022582
r12i1p1f1,1950,True,19.167585,18.555460301684388
r12i1p1f1,1951,True,19.746834,20.37712381636023
r12i1p1f1,1952,True,17.814774,19.251959617373142
r12i1p1f1,1953,True,18.098652,18.67737278642301
r12i1p1f1,1954,True,19.540565,19.15578842661939
r12i1p1f1,1955,True,20.185097,19.850390249569635
r12i1p1f1,1956,True,19.76738,20.89566155110632
r12i1p1f1,1957,True,18.12885,19.82045480328407
r12i1p1f1,1958,True,17.83949,18.445300321611782
r12i1p1f1,1959,True,17.627388,18.163144890404055
r12i1p1f1,1960,True,20.028944,19.277205158638747
r12i1p1f1,1961,True,18.584742,18.53742903425025
r12i1p1f1,1962,True,18.331493,18.187177662316188
r12i1p1f1,1963,True,17.944824,17.99400342044718
r12i1p1f1,1964,True,17.90427,18.69913947872396
r12i1p1f1,1965,True,17.49326,19.490250851486415
r12i1p1f1,1966,True,18.478981,18.619634405840962
r12i1p1f1,1967,True,19.492207,19.095970450497774
r12i1p1f1,1968,True,22.083935,21.591193435843962
r12i1p1f1,1969,True,22.394276,23.323580959092663
r12i1p1f1,1970,True,22.741932,22.520956861297947
r12i1p1f1,1971,True,21.909206,21.81321366532835
r12i1p1f1,1972,True,21.319052,21.36053810508269
r12i1p1f1,1973,True,19.625513,20.676004610598653
r12i1p1f1,1974,True,19.796291,19.973250305359304
r12i1p1f1,1975,True,18.201456,18.654363857502677
r12i1p1f1,1976,True,18.071344,18.18514199263938
r12i1p1f1,1977,True,19.35226,18.416642079210796
r12i1p1f1,1978,True,20.601578,19.754755128026854
r12i1p1f1,1979,True,20.391367,19.723877647245885
r12i1p1f1,1980,True,20.48933,20.53194169624153
r12i1p1f1,1981,True,21.044035,20.67263208229587
r12i1p1f1,1982,True,18.285517,19.613738383697616
r12i1p1f1,1983,True,17.869669,18.145060783194054
r12i1p1f1,1984,True,18.170156,18.64913681963696
r12i1p1f1,1985,True,17.223711,18.061863014371568
r12i1p1f1,1986,True,18.265253,18.635171097865737
r12i1p1f1,1987,True,19.18854,19.49505294010661
r12i1p1f1,1988,True,18.678116,19.474702142894238
r12i1p1f1,1989,True,19.971842,19.958796944888036
r13i1p1f1,1853,True,21.86416,22.552016724183282
r13i1p1f1,1854,True,21.135284,21.79001804935368
r13i1p1f1,1855,True,21.85871,21.24738022750742
r13i1p1f1,1856,True,19.424683,19.588330002026375
r13i1p1f1,1857,True,19.75152,19.977198261658266
