rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
218,253,so W40p0 EOF4 lag1,-0.01961129878505036,0.01961129878505036,253,1
219,284,so W30p0 EOF5 lag0,-0.01959740502666163,0.01959740502666163,284,1
220,26,thetao W60p0 EOF7 lag2,0.019579688967693167,0.019579688967693167,26,1
221,4,thetao W60p0 EOF5 lag0,0.019576441589178793,0.019576441589178793,4,1
222,13,thetao W60p0 EOF4 lag1,-0.01952300246456877,0.01952300246456877,13,1
223,118,thetao W30p0 EOF9 lag3,0.01948640988394555,0.01948640988394555,118,1
224,49,thetao W40p0 EOF10 lag0,0.019330825186115765,0.019330825186115765,49,1
225,184,thetao W10p0 EOF5 lag2,0.01921767798485243,0.01921767798485243,184,1
226,347,so W20p0 EOF8 lag2,-0.0191730865923721,0.0191730865923721,347,1
227,153,thetao W20p0 EOF4 lag3,0.019070486630576318,0.019070486630576318,153,1
228,249,so W40p0 EOF10 lag0,0.019060350619700486,0.019060350619700486,249,1
229,285,so W30p0 EOF6 lag0,0.01905857108741568,0.01905857108741568,285,1
230,323,so W20p0 EOF4 lag0,-0.019012525986095336,0.019012525986095336,323,1
231,157,thetao W20p0 EOF8 lag3,0.018874464097417235,0.018874464097417235,157,1
232,7,thetao W60p0 EOF8 lag0,0.01871859380042931,0.01871859380042931,7,1
233,225,so W60p0 EOF6 lag2,-0.018446611111555985,0.018446611111555985,225,1
234,295,so W30p0 EOF6 lag1,0.01805626611771295,0.01805626611771295,295,1
235,149,thetao W20p0 EOF10 lag2,0.018050078959011194,0.018050078959011194,149,1
236,239,so W60p0 EOF10 lag3,-0.01799859768864627,0.01799859768864627,239,1
237,259,so W40p0 EOF10 lag1,0.017899874922589994,0.017899874922589994,259,1
238,74,thetao W40p0 EOF5 lag3,-0.017633313302398857,0.017633313302398857,74,1
239,167,thetao W10p0 EOF8 lag0,0.01738795853598802,0.01738795853598802,167,1
240,132,thetao W20p0 EOF3 lag1,0.01732074966129664,0.01732074966129664,132,1
241,138,thetao W20p0 EOF9 lag1,0.017239139914308484,0.017239139914308484,138,1
242,203,so W60p0 EOF4 lag0,0.017132877191664193,0.017132877191664193,203,1
243,366,so W10p0 EOF7 lag0,0.01694396025565308,0.01694396025565308,366,1
244,254,so W40p0 EOF5 lag1,0.016855196724572634,0.016855196724572634,254,1
245,57,thetao W40p0 EOF8 lag1,-0.016554316499688703,0.016554316499688703,57,1
246,46,thetao W40p0 EOF7 lag0,0.01653192000822516,0.01653192000822516,46,1
247,276,so W40p0 EOF7 lag3,-0.016519756145893873,0.016519756145893873,276,1
248,173,thetao W10p0 EOF4 lag1,-0.01621279519946753,0.01621279519946753,173,1
249,226,so W60p0 EOF7 lag2,0.015993676073339746,0.015993676073339746,226,1
250,397,so W10p0 EOF8 lag3,-0.015867118016733326,0.015867118016733326,397,1
251,319,so W30p0 EOF10 lag3,-0.015834687416407256,0.015834687416407256,319,1
252,266,so W40p0 EOF7 lag2,0.015616252384693384,0.015616252384693384,266,1
253,222,so W60p0 EOF3 lag2,0.015599301527507332,0.015599301527507332,222,1
254,292,so W30p0 EOF3 lag1,0.015573446539186521,0.015573446539186521,292,1
255,353,so W20p0 EOF4 lag3,0.015507634592721205,0.015507634592721205,353,1
256,178,thetao W10p0 EOF9 lag1,0.015490722030365152,0.015490722030365152,178,1
