N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform
30,1,20.0,0.044339721545086086,0.4808792043874118,0.6660137761077695,0.6376593976860501,60.0,13.5,2,15,maxlag,detrend,detrend
5,1,10.0,0.040600592307803274,0.36088939590892816,0.49941076818812924,0.5465382314192238,14.5,11.0,2,15,maxlag,detrend,detrend
5,0,100.0,0.03995099228043836,0.33160019264273516,0.5408401701537515,0.49086359001461394,5.0,10.0,2,15,maxlag,detrend,detrend
20,0,1.0,0.023287942468656397,0.6035414412712375,0.5919129217814814,0.8827300058904192,20.0,12.5,2,15,maxlag,detrend,detrend
5,0,50.0,0.015899257098581865,0.36645112826298987,0.5296541138968391,0.5048860327954897,5.0,10.0,2,15,maxlag,detrend,detrend
10,0,10.0,0.012269010808599046,0.3781775989478074,0.5263719950967373,0.5460965327194989,10.0,12.0,2,15,maxlag,detrend,detrend
30,0,10.0,-0.007605819699735561,0.6282678532624535,0.6998784069189676,0.716426679198515,30.0,13.0,2,15,maxlag,detrend,detrend
5,0,30.0,-0.01088129102138985,0.4008062703271222,0.5179358631394837,0.519190399922854,5.0,10.0,2,15,maxlag,detrend,detrend
5,0,20.0,-0.03862762286530791,0.4332085836225415,0.5067138224368052,0.532864646782749,5.0,10.0,2,15,maxlag,detrend,detrend
10,0,1.0,-0.09305698963947073,0.5017918231167068,0.500664015684187,0.6414439797587459,10.0,12.0,2,15,maxlag,detrend,detrend
15,0,1.0,-0.098345657801303,0.5153421333616502,0.5135010674087099,0.8274683470895776,15.0,12.0,2,15,maxlag,detrend,detrend
5,0,10.0,-0.09879788623091262,0.4974230949235455,0.48539720424105837,0.5596772084542172,5.0,10.0,2,15,maxlag,detrend,detrend
10,0,0.1,-0.10713522625087096,0.5187965968791464,0.497644960323343,0.6599485393258959,10.0,12.0,2,15,maxlag,detrend,detrend
10,0,0.01,-0.10845158463520682,0.520426583261262,0.4973448023962014,0.6620064819073415,10.0,12.0,2,15,maxlag,detrend,detrend
10,0,0.001,-0.10858179893405084,0.5205883755041255,0.4973148032885103,0.6622147209565743,10.0,12.0,2,15,maxlag,detrend,detrend
20,0,0.1,-0.17910162816552122,0.8065882196254798,0.5708010835621248,0.985185275613186,20.0,12.5,2,15,maxlag,detrend,detrend
1,1,100.0,-0.19086058168470826,0.35002941415691774,0.560559263972714,0.41525555765873234,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,50.0,-0.1931669160045339,0.34646849501019,0.5571238462013733,0.41860922264775524,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,30.0,-0.1959217507890582,0.3442431436452032,0.5539583389359997,0.42194242683841565,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,20.0,-0.19886699487496534,0.3432134785981859,0.5511453612053683,0.42509060782070107,3.0,2.0,2,15,maxlag,detrend,detrend
30,1,10.0,-0.20002199265860898,0.7160246838110692,0.6504117533823667,0.7538273610176853,60.0,13.5,2,15,maxlag,detrend,detrend
1,1,10.0,-0.20542448730750146,0.34363127363801854,0.5459862134599808,0.4311652448184165,3.0,2.0,2,15,maxlag,detrend,detrend
20,0,0.01,-0.21200624406015733,0.8393824061418653,0.5678920066271628,0.9987027480661219,20.0,12.5,2,15,maxlag,detrend,detrend
20,0,0.001,-0.21549777282349558,0.8428604168026056,0.5675871555665544,1.0000991080580452,20.0,12.5,2,15,maxlag,detrend,detrend
1,1,1.0,-0.22659953159243928,0.3546489303767474,0.5335179676216241,0.44605422464260713,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,0.1,-0.23182720921419997,0.35831319933817407,0.5309206140243169,0.4490590260384575,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,0.01,-0.23242468825785628,0.35874505506118254,0.5306316062679065,0.4493903406161379,3.0,2.0,2,15,maxlag,detrend,detrend
1,1,0.001,-0.232485284416385,0.3587889893961819,0.5306023791004929,0.44942381143789434,3.0,2.0,2,15,maxlag,detrend,detrend
15,0,0.1,-0.2542070647390912,0.6672568056962174,0.4865366498138174,0.8978818338905361,15.0,12.0,2,15,maxlag,detrend,detrend
15,0,0.01,-0.27683245477026625,0.6891786368170683,0.48291252240659527,0.9064845444350058,15.0,12.0,2,15,maxlag,detrend,detrend
15,0,0.001,-0.27919628586320583,0.6914676529098394,0.4825366188907323,0.9073650492827601,15.0,12.0,2,15,maxlag,detrend,detrend
5,0,1.0,-0.2845087453725962,0.6800852564794199,0.4384665717158188,0.6292729932232368,5.0,10.0,2,15,maxlag,detrend,detrend
1,0,50.0,-0.31994732915228374,0.3954813362967101,0.46621688015236984,0.4734172342283483,1.0,1.0,2,15,maxlag,detrend,detrend
1,0,0.01,-0.31994732915228374,0.3954813362967101,0.4662168801523699,0.473417234228348,1.0,1.0,2,15,maxlag,detrend,detrend
