var,lon,mode,lag,corr,abs_corr
thetao,W60p0,1,13,0.3282653434601658,0.3282653434601658
thetao,W10p0,5,3,-0.3272470581057925,0.3272470581057925
thetao,W30p0,6,5,0.32687164043211864,0.32687164043211864
thetao,W40p0,1,0,-0.3263428790163673,0.3263428790163673
thetao,W40p0,4,15,-0.32556478694712737,0.32556478694712737
thetao,W40p0,4,1,0.3251871439087348,0.3251871439087348
so,W30p0,1,11,-0.3250826341339196,0.3250826341339196
thetao,W10p0,5,6,-0.32488291864897345,0.32488291864897345
thetao,W10p0,9,15,0.32426018550826474,0.32426018550826474
thetao,W10p0,1,9,-0.32412094874517006,0.32412094874517006
thetao,W10p0,1,8,-0.3221638878888362,0.3221638878888362
thetao,W10p0,10,9,0.32169843257421976,0.32169843257421976
so,W20p0,2,8,0.3212231634842088,0.3212231634842088
thetao,W30p0,7,7,0.32040651026391237,0.32040651026391237
thetao,W20p0,2,3,-0.32035846965671655,0.32035846965671655
so,W10p0,3,15,0.32015047448249434,0.32015047448249434
so,W20p0,1,7,-0.3197746281449065,0.3197746281449065
thetao,W30p0,7,12,0.31977456014463845,0.31977456014463845
so,W40p0,10,9,-0.31974750484092346,0.31974750484092346
thetao,W60p0,1,9,0.3194859852840778,0.3194859852840778
thetao,W60p0,5,1,-0.3194163471485643,0.3194163471485643
thetao,W10p0,1,13,-0.3190930443942938,0.3190930443942938
so,W10p0,3,14,0.3188790591720055,0.3188790591720055
thetao,W30p0,2,2,-0.3160110685128546,0.3160110685128546
so,W10p0,1,8,-0.3154063069860097,0.3154063069860097
so,W10p0,1,11,-0.31507895904109845,0.31507895904109845
so,W60p0,5,13,-0.31477237662191576,0.31477237662191576
thetao,W10p0,1,2,-0.3146912892137424,0.3146912892137424
thetao,W60p0,2,11,-0.31466500675290215,0.31466500675290215
thetao,W30p0,6,0,0.3144155792059068,0.3144155792059068
thetao,W60p0,7,12,-0.3142018516886485,0.3142018516886485
thetao,W10p0,1,12,-0.31356291356071386,0.31356291356071386
thetao,W40p0,3,13,0.3135429395401971,0.3135429395401971
thetao,W10p0,3,8,-0.31236717690479326,0.31236717690479326
thetao,W10p0,2,3,-0.3123482260195073,0.3123482260195073
so,W20p0,9,5,0.3101683872448428,0.3101683872448428
thetao,W60p0,9,5,-0.30968185502408757,0.30968185502408757
thetao,W10p0,10,11,0.30879885985690336,0.30879885985690336
so,W40p0,10,5,-0.30856790518360644,0.30856790518360644
so,W40p0,3,12,-0.30819018065386344,0.30819018065386344
so,W60p0,5,12,-0.30807305784529887,0.30807305784529887
thetao,W60p0,9,0,-0.3077097365715325,0.3077097365715325
thetao,W60p0,9,6,-0.3074671076782753,0.3074671076782753
thetao,W10p0,5,12,-0.3068253306807542,0.3068253306807542
thetao,W60p0,5,2,-0.3067447802653739,0.3067447802653739
so,W40p0,7,3,0.3066013345132438,0.3066013345132438
thetao,W20p0,9,1,-0.30512953020223305,0.30512953020223305
so,W20p0,2,7,0.304620102942285,0.304620102942285
so,W60p0,2,4,-0.30444373779088796,0.30444373779088796
so,W60p0,2,9,-0.30334952647180347,0.30334952647180347
thetao,W30p0,7,11,0.303070604355778,0.303070604355778
thetao,W10p0,1,5,-0.30303961201279583,0.30303961201279583
so,W20p0,2,14,0.30121111737075495,0.30121111737075495
thetao,W30p0,8,6,0.30120638119064835,0.30120638119064835
thetao,W10p0,5,4,-0.2997627274278594,0.2997627274278594
thetao,W60p0,7,11,-0.29964073236000993,0.29964073236000993
so,W60p0,2,3,-0.2994684888717425,0.2994684888717425
so,W40p0,10,14,-0.29871871536753747,0.29871871536753747
thetao,W10p0,1,4,-0.29853636536268224,0.29853636536268224
thetao,W10p0,2,7,-0.29847488388180105,0.29847488388180105
thetao,W60p0,10,15,0.2978706203713567,0.2978706203713567
thetao,W60p0,7,15,-0.29627767744194333,0.29627767744194333
thetao,W30p0,4,0,-0.2954496317365899,0.2954496317365899
thetao,W40p0,4,2,0.29471212307532973,0.29471212307532973
so,W40p0,3,9,-0.29398833070270547,0.29398833070270547
thetao,W30p0,7,8,0.2936085181207476,0.2936085181207476
thetao,W30p0,5,0,-0.2933500840505437,0.2933500840505437
so,W10p0,2,15,0.2929525788599917,0.2929525788599917
thetao,W10p0,1,3,-0.29255628034237297,0.29255628034237297
so,W40p0,3,6,-0.29249154626292345,0.29249154626292345
thetao,W20p0,5,0,-0.2922725527793145,0.2922725527793145
thetao,W40p0,3,10,0.29209238772213414,0.29209238772213414
thetao,W10p0,2,1,-0.2918319179604422,0.2918319179604422
so,W40p0,3,13,-0.29137992921577777,0.29137992921577777
so,W20p0,2,9,0.2910418615632573,0.2910418615632573
so,W30p0,1,12,-0.2909712090063748,0.2909712090063748
thetao,W10p0,2,10,-0.2900722279295883,0.2900722279295883
so,W10p0,1,12,-0.2888844839166283,0.2888844839166283
so,W10p0,1,9,-0.28839178999645176,0.28839178999645176
thetao,W20p0,6,3,-0.28752487623012496,0.28752487623012496
so,W10p0,1,10,-0.2874434825850322,0.2874434825850322
thetao,W60p0,7,14,-0.28631002185527243,0.28631002185527243
so,W10p0,2,8,0.28587152178035,0.28587152178035
thetao,W60p0,7,1,-0.285612135474059,0.285612135474059
thetao,W60p0,2,3,-0.2847030892551847,0.2847030892551847
thetao,W20p0,5,2,-0.2845592998102036,0.2845592998102036
so,W30p0,1,2,-0.2842755672096039,0.2842755672096039
so,W30p0,1,13,-0.28408589218754704,0.28408589218754704
so,W20p0,2,6,0.28301815943098924,0.28301815943098924
so,W30p0,9,15,0.28292940750486045,0.28292940750486045
thetao,W10p0,5,11,-0.28252856950475314,0.28252856950475314
thetao,W10p0,5,8,-0.28246669181491535,0.28246669181491535
thetao,W60p0,1,12,0.28212051865861576,0.28212051865861576
thetao,W40p0,3,12,0.28171083874768704,0.28171083874768704
thetao,W40p0,8,8,0.280670275760297,0.280670275760297
thetao,W40p0,3,9,0.2803060548825625,0.2803060548825625
thetao,W10p0,5,13,-0.28019390263166,0.28019390263166
so,W10p0,3,13,0.28015821345192665,0.28015821345192665
so,W30p0,5,12,-0.2791645546175881,0.2791645546175881
thetao,W10p0,2,0,-0.2788398822054642,0.2788398822054642
thetao,W60p0,8,15,0.27795782903503663,0.27795782903503663
so,W40p0,7,1,0.27774456739692716,0.27774456739692716
thetao,W40p0,3,11,0.27758601433166313,0.27758601433166313
so,W20p0,9,4,0.27723496436327294,0.27723496436327294
thetao,W40p0,3,15,0.277138916347946,0.277138916347946
so,W10p0,2,7,0.2766973188837586,0.2766973188837586
so,W30p0,2,14,0.27584373208832874,0.27584373208832874
so,W30p0,9,14,0.2751505356104826,0.2751505356104826
so,W10p0,10,2,0.27358968682193946,0.27358968682193946
so,W30p0,1,1,-0.2734315316206804,0.2734315316206804
so,W20p0,3,13,-0.2733920957613494,0.2733920957613494
so,W10p0,7,12,-0.27322338904661475,0.27322338904661475
so,W40p0,10,11,-0.27301559043203594,0.27301559043203594
thetao,W10p0,10,12,0.2729753036692038,0.2729753036692038
thetao,W20p0,6,2,-0.27273216910908854,0.27273216910908854
so,W20p0,2,13,0.27271111240508644,0.27271111240508644
thetao,W30p0,7,10,0.2726997438111336,0.2726997438111336
thetao,W60p0,5,10,-0.2726916398911741,0.2726916398911741
thetao,W20p0,3,2,0.27245858557390507,0.27245858557390507
so,W40p0,10,6,-0.27197385141554536,0.27197385141554536
thetao,W10p0,3,9,-0.2719103927867564,0.2719103927867564
so,W30p0,2,12,0.27187203248500175,0.27187203248500175
thetao,W30p0,8,5,0.2718375480772598,0.2718375480772598
thetao,W10p0,2,9,-0.2714753822881451,0.2714753822881451
so,W30p0,9,11,0.2698546989664084,0.2698546989664084
thetao,W10p0,2,8,-0.26978482159811207,0.26978482159811207
so,W30p0,6,1,-0.2691155197116304,0.2691155197116304
thetao,W30p0,6,2,0.2689074291298551,0.2689074291298551
so,W60p0,9,2,-0.2688530713350908,0.2688530713350908
thetao,W10p0,1,15,-0.26879970816805987,0.26879970816805987
thetao,W10p0,10,13,0.2686815277143105,0.2686815277143105
so,W40p0,1,5,-0.26858029337409256,0.26858029337409256
thetao,W30p0,7,15,0.2685702774970578,0.2685702774970578
so,W40p0,10,7,-0.26764503886650154,0.26764503886650154
so,W40p0,5,2,0.2676250831288808,0.2676250831288808
thetao,W60p0,5,3,-0.2675855973913771,0.2675855973913771
so,W20p0,6,15,-0.26734790044196266,0.26734790044196266
thetao,W60p0,10,8,0.2670443616673748,0.2670443616673748
thetao,W10p0,1,14,-0.2663181569567727,0.2663181569567727
so,W30p0,3,4,0.26547612454424624,0.26547612454424624
thetao,W30p0,7,9,0.26470314258660893,0.26470314258660893
thetao,W60p0,8,6,0.26446285711805584,0.26446285711805584
thetao,W30p0,6,6,0.2641240207541265,0.2641240207541265
so,W20p0,1,3,-0.2637803766420671,0.2637803766420671
so,W40p0,3,14,-0.2636357715970591,0.2636357715970591
thetao,W40p0,10,0,0.26342919223700684,0.26342919223700684
so,W30p0,5,13,-0.26323595310062936,0.26323595310062936
thetao,W20p0,5,7,-0.26310490076769627,0.26310490076769627
so,W10p0,2,6,0.263051236186499,0.263051236186499
so,W10p0,3,7,0.26293835739506516,0.26293835739506516
thetao,W10p0,5,5,-0.2618854546477454,0.2618854546477454
so,W10p0,2,9,0.26173093717382173,0.26173093717382173
thetao,W40p0,8,9,0.2614905908971702,0.2614905908971702
thetao,W30p0,7,6,0.26140868831792496,0.26140868831792496
