var,mode,lag,corr,abs_corr
so,4,18,0.28010339301840315,0.28010339301840315
thetao,5,9,0.27982695074586417,0.27982695074586417
thetao,5,8,0.2798100613469037,0.2798100613469037
so,6,14,0.27966091675085614,0.27966091675085614
thetao,8,8,-0.27818708885501464,0.27818708885501464
so,6,6,0.2771073008778793,0.2771073008778793
thetao,2,17,0.27590652789804504,0.27590652789804504
thetao,5,13,0.2724857714178436,0.2724857714178436
thetao,4,0,0.26951506037357603,0.26951506037357603
thetao,8,14,-0.2690634830586983,0.2690634830586983
thetao,9,12,0.26744382353595597,0.26744382353595597
thetao,5,12,0.26440357534189113,0.26440357534189113
thetao,8,7,-0.26357768880724863,0.26357768880724863
thetao,5,11,0.26267655645450133,0.26267655645450133
thetao,8,11,-0.26030996746040613,0.26030996746040613
so,10,0,-0.2582596275237133,0.2582596275237133
thetao,8,5,-0.2577094828263644,0.2577094828263644
thetao,5,7,0.25572188385856776,0.25572188385856776
thetao,9,13,0.2536103967842472,0.2536103967842472
thetao,2,16,0.25206386398516883,0.25206386398516883
thetao,8,12,-0.25186156751398675,0.25186156751398675
so,6,3,0.25159334135169265,0.25159334135169265
so,6,8,0.25148923187074523,0.25148923187074523
so,6,20,0.24815776126616274,0.24815776126616274
thetao,9,11,0.2472160036141728,0.2472160036141728
thetao,2,19,0.24137965190810035,0.24137965190810035
thetao,5,14,0.23998211287925947,0.23998211287925947
thetao,2,15,0.23647697587473857,0.23647697587473857
thetao,5,10,0.23597550303860385,0.23597550303860385
so,9,1,0.23308342295855466,0.23308342295855466
thetao,8,9,-0.23138960116859725,0.23138960116859725
thetao,2,4,0.22996789102900547,0.22996789102900547
thetao,2,5,0.22966667477547842,0.22966667477547842
so,5,1,0.22947913998839986,0.22947913998839986
thetao,8,15,-0.22885194039200954,0.22885194039200954
so,6,5,0.22664243168732345,0.22664243168732345
so,9,2,0.22248924221537195,0.22248924221537195
so,6,0,0.219973952500336,0.219973952500336
so,6,4,0.219949129132143,0.219949129132143
so,3,11,-0.2196985262869754,0.2196985262869754
so,6,2,0.21681972901170776,0.21681972901170776
thetao,2,3,0.21470996841617632,0.21470996841617632
so,4,19,0.21422876739217073,0.21422876739217073
so,3,1,-0.20736459301569238,0.20736459301569238
so,3,6,-0.207013708535045,0.207013708535045
thetao,2,18,0.20668465305598618,0.20668465305598618
thetao,2,6,0.20630254638100637,0.20630254638100637
thetao,10,19,-0.20445923083342712,0.20445923083342712
thetao,8,10,-0.20430783475560388,0.20430783475560388
so,5,4,0.20377689394459367,0.20377689394459367
so,5,5,0.20356882702805795,0.20356882702805795
thetao,8,6,-0.20294661572351744,0.20294661572351744
thetao,5,15,0.20220576320299866,0.20220576320299866
so,3,5,-0.197842688742026,0.197842688742026
so,6,1,0.19744976810471412,0.19744976810471412
thetao,10,17,-0.19736471022864244,0.19736471022864244
thetao,2,2,0.19407862369629186,0.19407862369629186
so,5,2,0.192467606375572,0.192467606375572
so,4,20,0.1865319319112941,0.1865319319112941
thetao,9,10,0.18114325829829608,0.18114325829829608
so,5,8,0.18017173139091439,0.18017173139091439
thetao,10,18,-0.1731277516635294,0.1731277516635294
thetao,5,19,0.17236980733437227,0.17236980733437227
so,3,3,-0.16577196064625854,0.16577196064625854
so,3,4,-0.16487619896411457,0.16487619896411457
so,5,3,0.16195565875586598,0.16195565875586598
so,3,2,-0.16036301678738427,0.16036301678738427
thetao,10,16,-0.15650162200899237,0.15650162200899237
thetao,5,20,0.14959266296731547,0.14959266296731547
thetao,2,1,0.14944873328764582,0.14944873328764582
thetao,9,8,0.1483589540425096,0.1483589540425096
so,9,0,0.14807406353561464,0.14807406353561464
thetao,9,9,0.14579650909982772,0.14579650909982772
so,5,20,0.1444566882604086,0.1444566882604086
so,5,9,0.13745357027630858,0.13745357027630858
thetao,10,20,-0.13678133033372505,0.13678133033372505
thetao,9,7,0.13533109016791506,0.13533109016791506
so,3,8,-0.13458413362092006,0.13458413362092006
thetao,2,0,0.13181395429045775,0.13181395429045775
so,5,6,0.13167235320205753,0.13167235320205753
thetao,10,10,-0.1295371820908309,0.1295371820908309
so,3,0,-0.12836024020523526,0.12836024020523526
thetao,5,18,0.12817346565180948,0.12817346565180948
thetao,8,17,-0.12498580195927132,0.12498580195927132
so,5,15,0.1195559817223162,0.1195559817223162
