var,lon,mode0,mode,lag,corr,abs_corr
so,W30p0,1,2,13,-0.6191674574990575,0.6191674574990575
thetao,W30p0,1,2,19,-0.6186915817675589,0.6186915817675589
thetao,W10p0,8,9,2,-0.6186651802509191,0.6186651802509191
thetao,W60p0,1,2,4,-0.6183154937166094,0.6183154937166094
thetao,W60p0,1,2,2,-0.6183093185146594,0.6183093185146594
so,W20p0,9,10,22,-0.6182440840201917,0.6182440840201917
thetao,W40p0,7,8,23,-0.6178893269865201,0.6178893269865201
so,W60p0,0,1,0,0.6178806274755259,0.6178806274755259
so,W10p0,3,4,11,0.6174539373639938,0.6174539373639938
thetao,W30p0,3,4,13,0.6173748766916949,0.6173748766916949
so,W10p0,3,4,9,0.6172907959047703,0.6172907959047703
so,W40p0,3,4,15,-0.6172595714474927,0.6172595714474927
so,W40p0,2,3,9,-0.6171297041707905,0.6171297041707905
so,W10p0,3,4,8,0.6168993712549572,0.6168993712549572
so,W30p0,4,5,15,0.6166416068140093,0.6166416068140093
so,W30p0,1,2,3,-0.6161943026478786,0.6161943026478786
thetao,W20p0,1,2,7,-0.6160104006347893,0.6160104006347893
so,W30p0,1,2,15,-0.6158173938160832,0.6158173938160832
thetao,W10p0,8,9,1,-0.6151423657023305,0.6151423657023305
thetao,W60p0,9,10,2,-0.6151150426830113,0.6151150426830113
thetao,W60p0,9,10,5,-0.6150003303816246,0.6150003303816246
thetao,W40p0,7,8,20,-0.6144845617993866,0.6144845617993866
thetao,W30p0,1,2,20,-0.6143994127035931,0.6143994127035931
so,W10p0,3,4,18,0.6143268328122673,0.6143268328122673
thetao,W40p0,7,8,25,-0.6141374990540016,0.6141374990540016
so,W30p0,1,2,8,-0.6140094803003272,0.6140094803003272
thetao,W60p0,1,2,14,-0.6131860776968635,0.6131860776968635
thetao,W60p0,1,2,25,-0.6129914446910837,0.6129914446910837
thetao,W40p0,6,7,22,0.6127131415797131,0.6127131415797131
thetao,W30p0,2,3,25,0.612580444204838,0.612580444204838
so,W60p0,1,2,16,-0.6121879493146082,0.6121879493146082
so,W30p0,8,9,18,0.6114431776586899,0.6114431776586899
so,W30p0,8,9,21,0.6113865095757209,0.6113865095757209
thetao,W10p0,2,3,13,0.6112039456799503,0.6112039456799503
thetao,W30p0,3,4,8,0.6111901833656467,0.6111901833656467
thetao,W30p0,1,2,21,-0.6105054223636295,0.6105054223636295
thetao,W20p0,2,3,13,-0.610498862102842,0.610498862102842
so,W40p0,2,3,11,-0.6102959865811002,0.6102959865811002
so,W60p0,1,2,18,-0.6095488248938987,0.6095488248938987
so,W10p0,4,5,0,0.6093346372494034,0.6093346372494034
thetao,W40p0,6,7,20,0.6092242373555407,0.6092242373555407
thetao,W30p0,8,9,4,-0.6090239620203314,0.6090239620203314
thetao,W10p0,3,4,21,0.6085861826427326,0.6085861826427326
thetao,W30p0,3,4,7,0.6084828783665648,0.6084828783665648
so,W20p0,3,4,4,0.6084460147686026,0.6084460147686026
so,W10p0,3,4,7,0.608099092061141,0.608099092061141
so,W10p0,3,4,15,0.6080457598711153,0.6080457598711153
so,W60p0,1,2,17,-0.6079753249835802,0.6079753249835802
so,W10p0,4,5,10,0.6077079535753704,0.6077079535753704
so,W30p0,8,9,17,0.607406661418927,0.607406661418927
thetao,W60p0,3,4,18,-0.6071211179691188,0.6071211179691188
so,W40p0,3,4,18,-0.6070364177805792,0.6070364177805792
so,W20p0,9,10,14,-0.6065627777878194,0.6065627777878194
thetao,W40p0,2,3,8,-0.6064572930921609,0.6064572930921609
thetao,W40p0,6,7,19,0.6054614822742391,0.6054614822742391
so,W60p0,0,1,5,0.6054021328761873,0.6054021328761873
thetao,W30p0,8,9,9,-0.6053839360064008,0.6053839360064008
thetao,W40p0,2,3,4,-0.605062875197802,0.605062875197802
thetao,W40p0,7,8,15,-0.6050081342407687,0.6050081342407687
thetao,W60p0,1,2,12,-0.6048458386678084,0.6048458386678084
thetao,W40p0,1,2,18,-0.6046979625820628,0.6046979625820628
thetao,W40p0,7,8,17,-0.6046843791312245,0.6046843791312245
thetao,W30p0,8,9,6,-0.6045914031853168,0.6045914031853168
thetao,W40p0,1,2,19,-0.6042164898898569,0.6042164898898569
thetao,W40p0,2,3,21,-0.6040559249299283,0.6040559249299283
so,W20p0,8,9,23,0.6038457208832992,0.6038457208832992
so,W30p0,1,2,14,-0.6035028803783801,0.6035028803783801
thetao,W40p0,2,3,22,-0.603441828073985,0.603441828073985
so,W40p0,2,3,8,-0.6028020603967897,0.6028020603967897
thetao,W40p0,6,7,17,0.6027337909375133,0.6027337909375133
so,W60p0,0,1,6,0.6026331078506277,0.6026331078506277
thetao,W20p0,1,2,9,-0.6026325731002943,0.6026325731002943
thetao,W20p0,1,2,8,-0.6024138854132257,0.6024138854132257
so,W10p0,3,4,14,0.602252261849158,0.602252261849158
thetao,W60p0,1,2,23,-0.6021638228142401,0.6021638228142401
thetao,W60p0,3,4,19,-0.6018874275624996,0.6018874275624996
thetao,W30p0,2,3,23,0.6018525094019984,0.6018525094019984
thetao,W40p0,1,2,15,-0.6015648052244914,0.6015648052244914
so,W10p0,8,9,18,0.6013855676688954,0.6013855676688954
thetao,W30p0,8,9,8,-0.6013133777781063,0.6013133777781063
thetao,W30p0,1,2,15,-0.6010758788442033,0.6010758788442033
so,W30p0,8,9,19,0.6009113810878624,0.6009113810878624
so,W10p0,3,4,17,0.6009041155160307,0.6009041155160307
thetao,W60p0,1,2,24,-0.6001547967748923,0.6001547967748923
thetao,W20p0,2,3,12,-0.6000733244792289,0.6000733244792289
so,W10p0,8,9,20,0.5999265976683859,0.5999265976683859
so,W20p0,8,9,20,0.5992266431261729,0.5992266431261729
thetao,W40p0,7,8,16,-0.5992147095493325,0.5992147095493325
so,W10p0,8,9,15,0.5992126939769612,0.5992126939769612
thetao,W60p0,1,2,13,-0.5992035607017895,0.5992035607017895
thetao,W40p0,3,4,25,0.5991085112346464,0.5991085112346464
so,W30p0,8,9,5,0.5988539224749792,0.5988539224749792
thetao,W20p0,1,2,5,-0.598678109756466,0.598678109756466
thetao,W20p0,1,2,1,-0.5986351105344958,0.5986351105344958
thetao,W60p0,2,3,9,0.598362268433377,0.598362268433377
so,W30p0,8,9,14,0.5982688559940316,0.5982688559940316
thetao,W40p0,1,2,12,-0.5978767879328888,0.5978767879328888
so,W10p0,7,8,17,-0.5972610859349058,0.5972610859349058
