var,lon,mode0,lag,corr,abs_corr
so,W30p0,7,18,-0.2557417341321278,0.2557417341321278
so,W20p0,2,9,0.2556192091618624,0.2556192091618624
so,W60p0,5,8,0.2552069161096416,0.2552069161096416
so,W10p0,6,25,0.25517883255713875,0.25517883255713875
thetao,W10p0,1,5,-0.25508382351510994,0.25508382351510994
so,W30p0,4,20,0.25493124139758094,0.25493124139758094
thetao,W40p0,8,6,0.25373149496109587,0.25373149496109587
thetao,W30p0,9,4,-0.2536520160881904,0.2536520160881904
so,W30p0,2,0,0.25329805362655955,0.25329805362655955
thetao,W30p0,8,10,-0.2532247650080967,0.2532247650080967
thetao,W20p0,9,5,-0.25318355568387435,0.25318355568387435
thetao,W10p0,7,22,0.25308654418868537,0.25308654418868537
so,W40p0,1,9,0.2529985808951284,0.2529985808951284
so,W60p0,8,21,0.25296691042422975,0.25296691042422975
thetao,W60p0,3,5,-0.25272471469626334,0.25272471469626334
thetao,W40p0,3,0,-0.25264684968748324,0.25264684968748324
so,W30p0,2,6,0.25226517575338864,0.25226517575338864
thetao,W30p0,5,13,-0.25212657027009855,0.25212657027009855
thetao,W60p0,0,0,0.2520315177282197,0.2520315177282197
thetao,W20p0,5,10,-0.2519111882878525,0.2519111882878525
thetao,W30p0,7,7,-0.2518531086148027,0.2518531086148027
so,W10p0,4,3,0.25183175180037587,0.25183175180037587
so,W10p0,4,7,0.25174293217784194,0.25174293217784194
thetao,W10p0,5,17,0.2515253166335642,0.2515253166335642
so,W10p0,1,2,0.25077169621373946,0.25077169621373946
thetao,W20p0,2,23,-0.2507405303459114,0.2507405303459114
thetao,W40p0,4,21,0.2506165368868535,0.2506165368868535
thetao,W30p0,9,5,-0.2504826302458625,0.2504826302458625
thetao,W20p0,0,7,0.2503696818949124,0.2503696818949124
thetao,W20p0,9,25,0.24943929994614172,0.24943929994614172
so,W20p0,0,7,0.24851496086801791,0.24851496086801791
thetao,W10p0,5,8,-0.24850436849924634,0.24850436849924634
thetao,W30p0,7,6,-0.24846044785807617,0.24846044785807617
so,W30p0,4,11,0.24771791356665135,0.24771791356665135
so,W40p0,7,13,-0.24769471337044918,0.24769471337044918
so,W20p0,1,19,0.2474862002544412,0.2474862002544412
thetao,W10p0,2,14,0.24717405865079767,0.24717405865079767
thetao,W60p0,2,7,0.24710608641654128,0.24710608641654128
thetao,W10p0,8,4,-0.24709863752457886,0.24709863752457886
so,W20p0,8,9,0.2470158931841346,0.2470158931841346
thetao,W60p0,7,5,-0.24676524873667174,0.24676524873667174
so,W10p0,1,1,0.24671751516812282,0.24671751516812282
so,W40p0,5,2,-0.24663964208694097,0.24663964208694097
thetao,W40p0,7,22,-0.2461617801995661,0.2461617801995661
thetao,W10p0,6,13,-0.24605392915888,0.24605392915888
so,W40p0,8,25,0.2459885450174345,0.2459885450174345
so,W40p0,5,12,0.245908693319169,0.245908693319169
so,W60p0,7,1,-0.24559592203915392,0.24559592203915392
