var,lon,mode0,mode,lag,corr,abs_corr
thetao,W30p0,7,8,23,-0.2608764020346976,0.2608764020346976
thetao,W60p0,5,6,12,0.26052523086055646,0.26052523086055646
so,W40p0,8,9,11,0.26009392917578833,0.26009392917578833
thetao,W40p0,5,6,7,0.2600292302368541,0.2600292302368541
thetao,W20p0,0,1,6,0.2597028244515918,0.2597028244515918
so,W30p0,4,5,14,0.25894021674624623,0.25894021674624623
thetao,W20p0,9,10,24,0.25890697200504875,0.25890697200504875
thetao,W60p0,0,1,5,0.2584151520494076,0.2584151520494076
so,W20p0,1,2,13,0.25834399653868906,0.25834399653868906
thetao,W10p0,4,5,1,-0.25804257290470295,0.25804257290470295
so,W40p0,5,6,14,0.25797487358096993,0.25797487358096993
thetao,W60p0,2,3,17,-0.25784781068296875,0.25784781068296875
so,W10p0,9,10,18,-0.2572695493927469,0.2572695493927469
thetao,W30p0,8,9,20,-0.2570347055014431,0.2570347055014431
so,W40p0,3,4,18,-0.25688953451986,0.25688953451986
so,W20p0,5,6,16,-0.2568209880811167,0.2568209880811167
so,W20p0,9,10,17,-0.25675818735058886,0.25675818735058886
thetao,W60p0,9,10,25,0.256656417109505,0.256656417109505
so,W60p0,0,1,12,0.25647298450267797,0.25647298450267797
thetao,W30p0,4,5,20,0.2564456224164606,0.2564456224164606
thetao,W40p0,0,1,16,-0.2563177607767572,0.2563177607767572
so,W60p0,9,10,0,0.2555934931031257,0.2555934931031257
so,W10p0,1,2,12,0.25545733612539145,0.25545733612539145
so,W60p0,0,1,25,-0.2544597935692571,0.2544597935692571
thetao,W60p0,5,6,10,0.25421071324019096,0.25421071324019096
thetao,W60p0,5,6,13,0.2540725498574394,0.2540725498574394
so,W40p0,1,2,11,0.25405537657064314,0.25405537657064314
so,W40p0,7,8,14,-0.2533315672579604,0.2533315672579604
thetao,W30p0,1,2,5,0.2533241056900633,0.2533241056900633
so,W10p0,1,2,14,0.2529587524870813,0.2529587524870813
thetao,W30p0,2,3,0,-0.25242771538247766,0.25242771538247766
thetao,W10p0,2,3,18,0.25239732918507657,0.25239732918507657
thetao,W40p0,8,9,23,0.25206201638267767,0.25206201638267767
thetao,W60p0,7,8,4,-0.2515168226944631,0.2515168226944631
so,W30p0,9,10,25,-0.2512280065260733,0.2512280065260733
so,W10p0,4,5,13,0.2511800665349621,0.2511800665349621
so,W30p0,1,2,13,-0.2507460036747085,0.2507460036747085
thetao,W40p0,0,1,15,-0.2504629364222466,0.2504629364222466
thetao,W20p0,0,1,7,0.250421562858435,0.250421562858435
so,W10p0,5,6,9,-0.2501339558838395,0.2501339558838395
thetao,W60p0,9,10,2,-0.2497926847551332,0.2497926847551332
thetao,W40p0,6,7,9,0.24968475667631457,0.24968475667631457
so,W10p0,7,8,0,-0.24953983208305283,0.24953983208305283
thetao,W40p0,4,5,20,0.24916634971868437,0.24916634971868437
so,W10p0,9,10,17,-0.24888678480248055,0.24888678480248055
thetao,W30p0,4,5,3,0.24834169276268162,0.24834169276268162
thetao,W20p0,8,9,11,-0.24707983745989937,0.24707983745989937
thetao,W60p0,0,1,4,0.2462762822282466,0.2462762822282466
so,W10p0,1,2,0,0.24613654922255254,0.24613654922255254
thetao,W20p0,3,4,21,0.24612172953658418,0.24612172953658418
thetao,W20p0,3,4,17,0.24606568354294656,0.24606568354294656
thetao,W20p0,5,6,17,0.24568676180898358,0.24568676180898358
thetao,W40p0,6,7,12,0.24547549149930484,0.24547549149930484
thetao,W60p0,0,1,7,0.2452604804836889,0.2452604804836889
so,W30p0,1,2,5,-0.2450502425091414,0.2450502425091414
thetao,W40p0,1,2,17,0.24502483751638462,0.24502483751638462
thetao,W30p0,1,2,10,0.24485484174517336,0.24485484174517336
so,W30p0,7,8,1,-0.24417723164751906,0.24417723164751906
so,W10p0,7,8,3,-0.24399951087576158,0.24399951087576158
so,W10p0,1,2,9,0.24358954124795773,0.24358954124795773
so,W40p0,4,5,18,0.24357475286012148,0.24357475286012148
so,W40p0,3,4,0,0.24319372694870572,0.24319372694870572
so,W20p0,1,2,20,0.24305638333332985,0.24305638333332985
so,W20p0,2,3,11,0.24300082887112567,0.24300082887112567
thetao,W40p0,7,8,19,-0.24291059314153352,0.24291059314153352
thetao,W30p0,9,10,23,0.24205188318946122,0.24205188318946122
thetao,W40p0,1,2,4,0.24170315835222317,0.24170315835222317
thetao,W40p0,4,5,12,0.2415738716083079,0.2415738716083079
thetao,W20p0,0,1,8,0.24142800948385995,0.24142800948385995
so,W40p0,1,2,10,0.24129803409611508,0.24129803409611508
thetao,W60p0,2,3,18,-0.2411331192696732,0.2411331192696732
thetao,W30p0,5,6,22,0.24100884209383866,0.24100884209383866
so,W30p0,1,2,4,-0.24094608772123272,0.24094608772123272
so,W20p0,4,5,8,0.24093520620472203,0.24093520620472203
thetao,W40p0,1,2,16,0.24075757531251665,0.24075757531251665
thetao,W30p0,5,6,9,-0.2398499493186583,0.2398499493186583
so,W10p0,7,8,8,-0.23984448035392933,0.23984448035392933
so,W10p0,2,3,1,0.23977213767576916,0.23977213767576916
so,W60p0,2,3,18,0.23975117736331406,0.23975117736331406
so,W40p0,0,1,14,-0.2395366964809652,0.2395366964809652
thetao,W20p0,7,8,9,-0.23928127143243577,0.23928127143243577
thetao,W10p0,2,3,14,0.23924418680650708,0.23924418680650708
so,W30p0,7,8,18,-0.2391838540821089,0.2391838540821089
so,W10p0,4,5,4,0.23918352922159733,0.23918352922159733
thetao,W60p0,7,8,11,-0.2391487982540194,0.2391487982540194
so,W60p0,1,2,2,0.23913410050204098,0.23913410050204098
so,W40p0,5,6,20,0.23872744280837732,0.23872744280837732
thetao,W40p0,9,10,21,0.23848534044088668,0.23848534044088668
thetao,W40p0,7,8,15,-0.23833563709175284,0.23833563709175284
thetao,W30p0,1,2,6,0.23808895605772118,0.23808895605772118
so,W10p0,5,6,7,-0.23776663500534703,0.23776663500534703
so,W20p0,5,6,15,-0.23774548766280112,0.23774548766280112
thetao,W30p0,1,2,13,0.23765516956743948,0.23765516956743948
